Date,Dividends
2014-03-12,0.440000
2013-12-12,0.380000
2013-09-11,0.380000
2013-06-11,0.380000
2013-03-11,0.380000
2012-12-12,0.340000
2012-09-11,0.340000
2012-06-12,0.340000
2012-03-13,0.340000
2011-12-12,0.310000
2011-09-12,0.310000
2011-06-10,0.310000
2011-03-11,0.310000
2010-12-10,0.270000
2010-09-10,0.270000
2010-06-10,0.270000
2010-03-12,0.270000
2009-12-11,0.250000
2009-09-10,0.250000
2009-06-11,0.250000
2009-03-12,0.250000
2008-12-16,0.240000
2008-09-11,0.240000
2008-06-12,0.240000
2008-03-12,0.240000
2007-12-26,0.240000
2007-09-19,0.170000
2007-06-20,0.170000
2007-03-21,0.170000
2006-12-27,0.170000
2006-09-26,0.140000
2006-06-22,0.070000
2006-03-22,0.140000
2005-12-28,0.140000
2005-09-22,0.115000
2005-06-22,0.115000
2005-03-22,0.115000
2004-12-22,0.115000
2004-09-23,0.095000
2004-06-23,0.095000
2004-03-19,0.095000
2003-12-23,0.095000
2003-09-24,0.085000
2003-06-18,0.085000
2003-03-19,0.085000
2002-12-24,0.085000
2002-09-25,0.080000
2002-06-19,0.080000
2002-03-19,0.080000
2001-12-24,0.080000
2001-09-19,0.075000
2001-06-20,0.075000
2001-03-21,0.075000
2000-12-27,0.075000
2000-09-20,0.065000
2000-06-21,0.065000
2000-03-22,0.065000
1999-12-23,0.065000
1999-09-22,0.050000
1999-06-21,0.050000
1999-03-23,0.050000
1998-12-23,0.050000
1998-09-23,0.042500
1998-06-18,0.042500
1998-03-19,0.042500
1997-12-24,0.042500
1997-09-24,0.032500
1997-06-19,0.032500
1997-03-19,0.032500
1996-12-26,0.032500
1996-09-25,0.026250
1996-06-20,0.026250
1996-03-20,0.026250
1995-12-26,0.026250
1995-09-27,0.020000
1995-06-20,0.020000
1995-03-20,0.020000
1994-12-22,0.020000
1994-09-26,0.016250
1994-06-17,0.016250
1994-03-18,0.016250
1993-12-23,0.016250
1993-09-24,0.013120
1993-06-18,0.013120
1993-03-19,0.013120
1992-12-21,0.013120
1992-09-24,0.011250
1992-06-19,0.011250
1992-03-23,0.011250
1991-12-20,0.011250
1991-09-23,0.010310
1991-06-17,0.010310
1991-03-18,0.010310
1990-12-20,0.010310
1990-09-24,0.009370
1990-06-15,0.009370
1990-03-16,0.009370
