Date,Dividends
2013-11-26,0.210000
2013-05-29,0.200000
2012-11-28,0.200000
2012-05-30,0.200000
2011-11-29,0.200000
2011-05-27,0.200000
2010-11-29,0.200000
2010-05-27,0.200000
2009-11-27,0.200000
2009-05-28,0.060000
2008-11-26,0.060000
2008-05-28,0.060000
2007-11-28,0.060000
2007-05-30,0.055000
2006-11-29,0.055000
2006-05-30,0.055000
2005-11-29,0.055000
2005-05-27,0.050000
2004-11-29,0.050000
2004-05-27,0.050000
2003-11-26,0.050000
2003-05-28,0.045000
2002-11-26,0.045000
2002-05-29,0.045000
2001-11-28,0.045000
2001-05-30,0.040000
2000-11-29,0.040000
2000-05-30,0.040000
1999-11-29,0.020000
1999-06-01,0.018000
1998-11-27,0.018000
1998-05-28,0.018000
1997-11-26,0.018000
1997-05-28,0.015000
1996-11-26,0.015000
1996-05-29,0.015000
1995-11-29,0.015000
1995-05-25,0.012000
1994-11-25,0.012000
1994-05-25,0.012000
