Date,Dividends
2013-12-27,0.150000
2013-09-26,0.150000
2013-06-26,0.150000
2013-05-29,0.050000
2013-03-26,0.100000
2012-12-12,0.090000
2012-09-27,0.090000
2012-06-27,0.090000
2012-03-28,0.070000
2011-12-28,0.070000
2011-09-28,0.070000
2011-06-28,0.050000
2011-03-29,0.050000
2010-12-29,0.050000
2010-09-28,0.050000
2010-06-28,0.050000
2010-03-29,0.050000
2009-12-29,0.050000
2009-09-28,0.050000
2009-06-26,0.050000
2009-03-27,0.050000
2008-12-29,0.050000
2008-09-26,0.190000
2008-06-26,0.190000
2008-03-27,0.190000
2007-12-27,0.190000
2007-09-27,0.190000
2007-06-28,0.180000
2007-03-28,0.180000
2006-12-27,0.180000
2006-09-27,0.180000
2006-06-28,0.120000
2006-03-29,0.120000
2005-12-28,0.120000
2005-09-28,0.080000
2005-06-28,0.060000
2005-03-29,0.060000
2004-12-29,0.060000
2004-09-28,0.060000
2004-06-28,0.060000
2004-03-31,0.040000
2003-12-29,0.040000
2003-09-26,0.040000
2003-06-26,0.040000
2003-03-27,0.040000
2002-12-27,0.040000
2002-09-26,0.040000
2002-06-26,0.040000
2002-03-26,0.040000
2001-12-27,0.040000
2001-09-26,0.040000
2001-06-28,0.040000
2001-03-28,0.040000
2000-12-27,0.040000
2000-09-27,0.040000
2000-06-28,0.040000
2000-03-29,0.040000
1999-12-29,0.040000
1999-10-04,0.040000
1999-06-28,0.040000
1999-03-29,0.040000
1998-12-29,0.040000
