Date,Dividends
2014-01-30,0.200000
2013-11-14,0.190000
2013-08-01,0.190000
2013-05-01,0.190000
2012-12-12,0.190000
2012-11-15,0.190000
2012-08-02,0.190000
2012-05-02,0.190000
2012-02-01,0.190000
2011-11-17,0.190000
2011-07-28,0.190000
2011-04-28,0.190000
2011-01-27,0.190000
2010-11-18,0.190000
2010-07-27,0.190000
2010-04-27,0.190000
2010-01-28,0.190000
2009-11-19,0.170000
2009-07-23,0.170000
2009-04-22,0.170000
2009-01-29,0.170000
2008-11-19,0.140000
2008-07-28,0.140000
2008-04-24,0.140000
2008-01-29,0.140000
2007-11-21,0.110000
2007-07-26,0.110000
2007-04-26,0.106670
2007-01-25,0.106670
2006-11-22,0.076670
2006-07-27,0.076670
2006-04-27,0.076670
2006-01-30,0.076670
2005-11-17,0.053330
2005-08-02,0.053330
2005-04-28,0.053330
2005-01-28,0.053330
2004-11-23,0.044450
2004-07-29,0.044450
2004-04-29,0.044450
2004-01-29,0.044450
2003-11-25,0.040000
2003-07-30,0.040000
2003-04-29,0.040000
2003-01-30,0.040000
2002-11-21,0.031110
2002-07-31,0.031110
2002-04-29,0.031110
2002-01-30,0.031110
2001-11-21,0.028890
2001-07-30,0.028890
2001-04-27,0.028890
2001-01-30,0.028890
2000-11-22,0.026670
2000-07-28,0.026670
2000-04-27,0.026670
2000-01-28,0.026670
1999-11-22,0.022220
1999-07-29,0.022220
1999-04-29,0.022220
1999-01-28,0.022220
1998-11-23,0.022220
1998-08-03,0.022220
1998-04-29,0.022220
1998-01-28,0.022220
1997-11-25,0.018670
1997-07-30,0.018670
1997-04-30,0.018670
1997-01-30,0.018670
1996-11-25,0.015550
1996-08-01,0.015550
1996-04-23,0.015550
1996-02-01,0.015550
1995-11-21,0.012450
1995-08-02,0.011850
1995-05-02,0.011850
1995-01-30,0.011850
1994-11-21,0.000000
1994-11-08,0.008630
1994-08-05,0.008630
1994-05-10,0.030000
1994-02-24,0.008630
1993-12-07,0.000000
1993-11-24,0.006980
1993-08-05,0.006980
1993-05-04,0.006980
1993-02-23,0.006980
1992-11-30,0.000000
1992-11-17,0.004510
1992-08-07,0.004510
1992-05-04,0.004510
