Date,Dividends
2013-12-31,0.250000
2013-09-30,0.250000
2013-06-28,0.250000
2013-03-28,0.250000
2012-12-10,1.250000
2012-10-03,0.250000
2012-07-03,0.250000
2012-04-03,0.250000
2012-01-03,0.250000
2011-09-28,0.100000
2011-06-29,0.100000
2011-03-30,0.100000
2010-12-13,1.250000
2010-09-29,0.250000
2010-06-29,0.250000
2010-03-30,0.250000
2009-12-30,0.240000
2009-09-29,0.230000
2009-06-30,0.215000
2009-03-31,0.200000
2008-12-24,0.092500
2008-10-08,0.165000
2008-06-30,0.150000
2008-04-02,1.500000
2007-12-24,0.140000
2007-10-10,0.125000
2007-07-10,0.105000
2007-04-03,0.090000
2006-12-26,0.080000
2006-09-27,0.070000
2006-06-28,0.062500
2006-03-28,0.052500
2005-12-28,0.087500
2005-07-20,0.080000
2005-01-19,0.062500
2004-07-16,0.042500
2004-01-21,0.035000
2003-07-16,0.032500
1992-02-10,0.009250
1990-11-09,0.009250
