Date,Dividends
2013-11-20,0.572880
2013-06-12,1.069320
2012-11-20,0.529050
2012-06-06,1.034660
2011-11-16,1.144750
2011-06-01,0.998980
2010-11-17,0.472990
2010-06-02,0.827730
2009-11-18,0.456680
2009-06-03,0.804280
2008-11-19,0.391440
2008-06-04,1.011210
2007-11-20,0.524970
2007-06-06,0.888890
2006-11-21,0.454640
2005-11-22,0.445030
2005-06-01,0.460170
2004-11-23,0.412410
2004-06-02,0.215520
2003-11-25,0.188730
2003-06-04,0.171250
2002-11-20,0.163100
2002-06-05,0.142130
2001-11-20,0.135140
2001-06-06,0.118830
2000-11-21,0.126980
2000-06-07,0.131640
1999-11-23,0.137470
1999-09-28,0.123490
1999-06-16,0.134210
1998-11-24,0.150750
1998-06-10,0.134440
1997-11-25,0.133270
1997-06-11,0.116030
1996-11-29,0.115330
1996-06-14,0.038440
1995-12-01,0.088780
1995-06-27,0.078760
1994-12-09,0.074560
1994-07-01,0.025630
1994-06-24,0.025630
1993-12-03,0.023460
1993-06-25,0.052190
1993-01-08,0.053980
1992-06-26,0.055840
1992-01-13,0.052340
1991-08-16,0.075870
1991-06-27,0.038060
1991-01-08,0.045280
1990-07-13,0.028350
