Date,Dividends
2014-02-03,0.090000
2013-11-08,0.090000
2013-07-22,0.090000
2013-04-29,0.080000
2013-02-04,0.080000
2012-11-05,0.080000
2012-07-23,0.080000
2012-04-30,0.070000
2012-02-09,0.070000
2011-10-31,0.070000
2011-07-25,0.070000
2011-05-02,0.060000
2011-01-31,0.060000
2010-11-01,0.060000
2010-07-26,0.060000
2010-05-03,0.050000
2010-02-01,0.050000
2009-10-26,0.050000
2009-07-27,0.050000
2009-05-04,0.045000
2009-02-02,0.045000
2008-10-28,0.045000
2008-07-29,0.045000
2008-04-29,0.040000
2008-02-04,0.040000
2007-10-30,0.040000
2007-07-31,0.040000
2007-05-01,0.035000
2007-02-02,0.035000
2006-10-31,0.035000
2006-07-31,0.035000
2006-05-01,0.030000
2006-01-31,0.030000
2005-10-28,0.030000
2005-07-29,0.030000
2005-04-29,0.025000
2005-01-31,0.025000
2004-10-29,0.025000
2004-08-02,0.025000
2004-04-29,0.020000
2004-01-29,0.020000
2003-10-30,0.020000
2003-07-30,0.020000
2003-04-29,0.020000
2003-01-30,0.020000
2002-10-30,0.020000
2002-07-30,0.020000
2002-04-29,0.020000
2002-01-30,0.020000
2001-10-30,0.020000
2001-07-31,0.020000
2001-05-01,0.020000
2001-01-31,0.020000
2000-11-01,0.020000
2000-08-02,0.020000
2000-05-02,0.020000
2000-01-28,0.018000
1999-11-05,0.017500
1999-07-30,0.017500
1999-04-28,0.017500
1999-01-28,0.017500
1998-10-28,0.017500
1998-07-30,0.017500
1998-04-29,0.017500
1998-02-03,0.017500
1997-10-30,0.018000
1997-07-30,0.018000
1997-04-29,0.018000
1997-01-30,0.018000
1996-10-30,0.018000
1996-07-30,0.016800
1996-04-29,0.017000
1996-01-30,0.017000
1995-10-30,0.017000
