Date,Dividends
2014-03-13,0.180000
2013-12-06,0.180000
2013-08-28,0.180000
2013-05-29,0.180000
2012-12-19,0.170000
2012-11-29,0.170000
2012-08-29,0.170000
2012-05-30,0.170000
2012-03-15,0.160000
2011-12-01,0.160000
2011-08-30,0.160000
2011-05-27,0.160000
2011-03-10,0.160000
2010-11-30,0.160000
2010-08-30,0.160000
2010-05-27,0.160000
2010-02-25,0.150000
2009-11-30,0.150000
2009-08-28,0.150000
2009-05-28,0.150000
2009-02-26,0.140000
2008-11-26,0.140000
2008-08-28,0.140000
2008-05-29,0.140000
2008-02-14,0.110000
2007-11-29,0.110000
2007-08-29,0.110000
2007-05-30,0.110000
2007-02-15,0.090000
2006-11-29,0.090000
2006-08-30,0.090000
2006-05-30,0.090000
2006-02-13,0.070000
2005-11-29,0.070000
2005-08-30,0.070000
2005-05-27,0.070000
2005-02-14,0.027500
2004-11-29,0.055000
2004-08-30,0.055000
2004-05-27,0.055000
2004-03-04,0.050000
2003-11-26,0.050000
2003-08-27,0.033330
2003-05-28,0.046660
2003-02-27,0.043330
2002-11-27,0.043330
2002-08-28,0.043330
2002-05-29,0.043330
2002-02-28,0.040000
2001-11-28,0.040000
2001-08-29,0.040000
2001-05-30,0.040000
2001-03-01,0.036670
2000-11-29,0.036670
2000-08-30,0.036670
2000-05-30,0.036670
2000-03-02,0.033330
1999-11-29,0.033330
1999-08-30,0.033330
1999-05-27,0.033330
1999-03-04,0.030000
1998-11-27,0.030000
1998-08-28,0.030000
1998-05-28,0.030000
1998-02-27,0.026670
1997-11-26,0.026670
1997-08-28,0.026670
1997-05-29,0.025560
1997-02-28,0.024450
1996-11-26,0.024450
1996-08-28,0.024450
1996-05-29,0.024450
1996-03-01,0.023340
1995-11-29,0.023340
1995-08-30,0.022230
1995-05-25,0.022230
1995-02-28,0.022230
1994-11-25,0.022230
1994-08-26,0.022230
1994-05-25,0.022230
1994-03-01,0.020000
1993-11-24,0.020000
1993-08-26,0.020000
1993-05-25,0.020000
1993-03-02,0.020000
1992-08-25,0.020000
1992-05-26,0.020000
1992-03-03,0.016660
1991-11-25,0.016660
1991-08-26,0.016660
