Date,Dividends
2014-02-04,0.250000
2013-11-04,0.250000
2013-08-05,0.250000
2013-05-13,0.250000
2013-02-04,0.220000
2012-11-05,0.220000
2012-08-06,0.220000
2012-05-14,0.220000
2012-02-06,0.190000
2011-11-07,0.190000
2011-08-08,0.190000
2011-05-16,0.190000
2011-02-07,0.160000
2010-11-08,0.160000
2010-08-09,0.160000
2010-05-17,0.160000
2010-02-08,0.160000
2009-11-02,0.160000
2009-08-03,0.140000
2009-05-11,0.140000
2009-02-02,0.140000
2008-11-03,0.140000
2008-08-04,0.140000
2008-05-05,0.140000
2008-02-04,0.120000
2007-11-09,0.120000
2007-08-13,0.120000
2007-05-07,0.120000
2007-02-05,0.090000
2006-11-13,0.090000
2006-08-14,0.090000
2006-05-08,0.090000
2006-02-06,0.070000
2005-11-15,0.070000
2005-08-15,0.070000
2005-05-09,0.070000
2005-02-14,0.050000
2004-11-15,0.050000
2004-08-16,0.050000
2004-05-10,0.050000
