Date,Dividends
2014-01-28,0.150000
2013-10-28,0.130000
2013-07-26,0.120000
2013-04-26,0.120000
2013-01-30,0.120000
2012-10-31,0.120000
2012-07-30,0.120000
2012-04-30,0.120000
2012-01-30,0.110000
2011-10-27,0.100000
2011-07-28,0.100000
2011-04-28,0.090000
2011-01-27,0.080000
2010-10-28,0.070000
2009-02-05,0.090000
2008-11-06,0.320000
2008-07-31,0.380000
2008-04-30,0.360000
2008-01-31,0.260000
2007-10-31,0.240000
2007-07-31,0.230000
2007-04-30,0.220000
2007-01-31,0.220000
2006-10-30,0.213330
2006-07-31,0.206670
2006-04-27,0.200000
2006-01-31,0.186670
2005-10-28,0.153330
2005-07-28,0.143330
2005-05-05,0.136670
2005-02-01,0.130000
2004-11-03,0.116670
2004-08-04,0.110000
2004-04-29,0.100000
