Date,Dividends
2013-11-12,0.170000
2013-07-16,0.169000
2012-11-13,0.154000
2012-07-17,0.149000
2011-11-15,0.132000
2011-07-19,0.153000
2010-11-16,0.260000
2010-07-20,0.127500
2009-12-07,0.771000
2009-07-21,0.224000
2008-07-22,0.251500
2007-11-01,0.931000
2007-07-24,0.184500
2006-07-21,0.089000
2006-03-20,0.016500
2005-12-20,0.295000
2005-09-20,0.048500
2005-06-21,0.016160
2005-03-18,0.008840
2004-12-20,0.008670
2004-09-20,0.008840
2004-06-21,0.008840
2004-03-22,0.004500
2003-12-19,0.004660
2003-09-22,0.004660
2003-06-23,0.004830
2003-03-24,0.003500
2002-09-23,0.003660
2002-06-24,0.003830
2002-03-25,0.003660
2001-12-21,0.003660
2001-06-25,0.003660
