Date,Dividends
2014-02-13,0.500000
2013-11-18,0.500000
2013-08-15,0.500000
2013-05-16,0.500000
2013-02-13,0.500000
2012-11-15,0.500000
2012-08-20,0.500000
2012-05-21,0.500000
2012-02-16,0.500000
2011-11-17,0.500000
2011-08-18,0.300000
2011-05-19,0.300000
2011-02-16,0.300000
2010-11-18,0.600000
2010-08-19,0.300000
2010-05-20,0.300000
2010-02-18,0.300000
2009-11-19,0.200000
2009-08-20,0.200000
2009-05-21,0.200000
2009-02-11,0.200000
2008-11-13,0.200000
2008-08-14,0.200000
2008-05-15,0.200000
2008-02-13,0.200000
2007-11-15,0.200000
2007-08-20,0.200000
2007-08-16,0.200000
