Date,Dividends
2014-01-30,0.010000
2013-10-31,0.010000
2013-08-01,0.010000
2013-05-02,0.010000
2008-11-10,0.025000
2002-12-02,0.030000
2002-08-30,0.090000
2002-06-03,0.090000
2002-03-01,0.090000
2001-11-26,0.090000
2001-08-31,0.090000
2001-06-04,0.090000
2001-03-02,0.090000
2000-11-27,0.090000
2000-09-01,0.090000
2000-06-05,0.090000
2000-03-03,0.150000
1999-11-24,0.150000
1999-09-03,0.150000
1999-06-07,0.150000
1999-03-05,0.140000
1998-12-28,0.140000
1998-11-25,0.140000
1998-09-04,0.140000
1998-06-01,0.140000
1998-03-06,0.116670
1997-12-29,0.116670
1997-12-01,0.116670
1997-08-29,0.116670
1997-06-02,0.116670
1997-03-07,0.100000
1996-12-30,0.100000
1996-12-02,0.100000
1996-08-30,0.100000
1996-06-03,0.100000
1996-03-01,0.090000
1995-11-27,0.090000
1995-09-01,0.090000
1995-06-01,0.083330
1995-03-01,0.083330
1994-11-23,0.083330
1994-08-31,0.083330
1994-06-13,0.083330
1994-03-02,0.073330
1993-11-26,0.073330
1993-09-01,0.066670
1993-05-04,0.066670
1993-03-03,0.066670
1992-11-25,0.066670
1992-09-01,0.066670
1992-05-28,0.066670
1992-03-04,0.050000
1991-11-27,0.033330
1991-05-29,0.033330
1990-11-29,0.008330
