Date,Dividends
2014-03-13,0.640000
2013-11-27,0.640000
2013-09-11,0.640000
2013-06-12,0.560000
2013-03-13,0.560000
2012-11-29,0.560000
2012-11-21,10.000000
2012-09-12,0.560000
2012-06-13,0.490000
2012-03-13,0.490000
2011-11-29,0.490000
2011-09-13,0.490000
2011-06-13,0.420000
2011-03-11,0.420000
2010-12-09,3.000000
2010-11-29,0.420000
2010-09-13,0.420000
2010-06-11,0.360000
2010-03-11,0.360000
2010-01-14,6.000000
2009-11-27,0.360000
2009-09-11,0.360000
2009-06-11,0.300000
2009-03-12,0.300000
2008-11-26,0.300000
2008-09-11,0.300000
2008-06-12,0.240000
2008-03-13,0.240000
2007-11-29,0.240000
2007-09-12,0.240000
2007-06-13,0.200000
2007-03-13,0.200000
2006-11-29,0.200000
2006-09-13,0.200000
2006-06-13,0.170000
2006-03-13,0.170000
2005-11-29,0.170000
2005-09-13,0.170000
2005-06-13,0.140000
2005-03-11,0.140000
2004-11-29,0.140000
2004-09-13,0.140000
2004-06-14,0.120000
2004-03-11,0.120000
2003-11-26,0.120000
2003-09-11,0.120000
1997-11-20,0.100000
1997-08-20,0.100000
1997-05-16,0.200000
1997-02-18,0.200000
1996-11-18,0.200000
1996-08-20,0.200000
1996-05-20,0.200000
1996-02-21,0.200000
1995-11-13,0.200000
1995-08-17,0.200000
1995-05-09,0.200000
1995-02-13,0.200000
1994-11-14,0.200000
1994-08-08,0.200000
1994-05-10,0.200000
1994-02-15,0.200000
1993-11-10,0.300000
1993-08-11,0.200000
1993-05-11,0.200000
1993-02-16,0.200000
1992-11-13,0.200000
1992-08-10,0.200000
1992-05-14,0.200000
1992-02-10,0.183330
1991-11-13,0.183330
1991-08-09,0.183330
1991-05-14,0.183330
1991-02-11,0.183330
1990-11-13,0.183330
1990-08-09,0.183330
1990-05-14,0.183330
1990-02-12,0.275000
