Date,Dividends
2013-12-19,0.260000
2012-12-12,0.220000
2011-12-12,0.180000
2010-12-17,0.150000
2009-12-28,0.110000
2008-12-18,0.073330
2007-12-18,0.073330
2006-12-27,0.040000
2005-12-28,0.026670
2004-12-28,0.017780
2003-12-24,0.015800
2002-12-23,0.015800
2001-12-21,0.012840
2000-12-21,0.011850
1999-12-22,0.009870
1998-12-22,0.006520
1997-12-23,0.006580
1996-12-24,0.005930
1995-12-22,0.004610
1994-12-21,0.003690
1994-12-06,0.000000
1993-12-06,0.034000
1992-12-07,0.034000
1991-11-29,0.045000
1990-11-27,0.040000
