Date,Dividends
2013-12-24,0.220000
2013-09-25,0.220000
2013-06-26,0.220000
2013-03-26,0.220000
2012-12-26,0.220000
2012-09-26,0.220000
2012-06-27,0.220000
2012-03-28,0.220000
2011-12-28,0.220000
2011-09-28,0.220000
2011-06-22,0.220000
2011-03-23,0.200000
2010-12-28,0.200000
2010-09-22,0.200000
2010-06-23,0.200000
2010-03-24,0.200000
2009-12-22,0.170000
2009-09-23,0.170000
2009-06-24,0.170000
2009-03-25,0.170000
2008-12-23,0.170000
2008-09-24,0.170000
2008-06-25,0.170000
2008-03-26,0.170000
2007-12-26,0.150000
2007-09-26,0.150000
2007-06-27,0.150000
2007-03-28,0.150000
2006-12-28,0.130000
2006-12-27,0.130000
2006-09-27,0.130000
2006-06-28,0.130000
2006-03-29,0.130000
2005-12-28,0.100000
2005-09-28,0.100000
2005-06-28,0.100000
2005-03-29,0.100000
2004-12-29,0.037500
2004-09-28,0.037500
2004-06-28,0.037500
2004-03-29,0.037500
