Date,Dividends
2013-12-26,0.130000
2013-10-03,0.130000
2013-07-03,0.120000
2013-04-04,0.120000
2012-11-28,0.120000
2012-10-04,0.110000
2012-07-11,0.110000
2012-04-03,0.110000
2011-12-28,0.110000
2011-10-07,0.110000
2011-07-06,0.100000
2011-04-06,0.100000
2010-11-26,0.100000
2010-10-06,0.100000
2010-07-07,0.090910
2010-04-07,0.090910
2009-07-08,0.145450
2009-03-27,0.145450
2008-12-29,0.145450
2008-09-29,0.145450
2008-06-27,0.145450
2008-03-27,0.145450
2007-12-27,0.145450
2007-09-27,0.145450
2007-06-28,0.145450
2007-03-28,0.127270
2006-12-27,0.218180
2006-09-28,0.127270
2006-06-28,0.127270
2006-03-29,0.109090
2005-12-28,0.109090
2005-09-28,0.087270
2005-06-28,0.087270
2005-03-29,0.079340
2004-12-30,0.072730
2004-09-28,0.072730
2004-06-28,0.072730
2004-03-29,0.072730
2003-12-29,0.072730
2003-09-26,0.072730
2003-06-26,0.072730
2003-03-27,0.066120
2002-12-27,0.156270
2002-09-26,0.066120
2002-06-27,0.066120
2002-03-27,0.066120
2001-12-27,0.066120
2001-09-27,0.066120
2001-06-28,0.066120
2001-03-28,0.066120
2000-12-27,0.126220
2000-09-28,0.066120
2000-06-28,0.066120
2000-03-29,0.054090
1999-12-29,0.114200
1999-09-28,0.054090
1999-06-28,0.090000
1999-03-29,0.042070
1998-12-29,0.042070
1998-09-28,0.042070
1998-06-26,0.033050
1998-03-27,0.032780
1997-12-29,0.032780
1997-09-26,0.032780
1997-06-26,0.032780
1997-03-26,0.027320
1997-01-29,0.500000
1996-12-27,0.027320
1996-09-26,0.027320
1996-06-26,0.027320
1996-04-26,0.000000
1996-03-27,0.024840
1995-12-27,0.080000
1995-09-27,0.080000
1995-06-28,0.080000
1995-03-27,0.120000
1994-12-23,0.120000
1994-09-26,0.120000
1994-06-24,0.024840
1994-03-25,0.024840
1994-02-09,0.100000
1993-09-24,0.100000
1993-06-24,0.022350
1993-03-25,0.022350
1992-12-24,0.090000
1992-09-24,0.080000
1992-06-24,0.080000
1992-03-25,0.080000
1991-12-24,0.080000
1991-09-24,0.080000
1991-06-24,0.080000
1991-03-22,0.060000
1990-12-21,0.060000
1990-09-26,0.060000
1990-06-25,0.060000
1990-03-26,0.060000
