Date,Dividends
2014-01-22,0.040000
2013-10-23,0.040000
2013-07-17,0.040000
2013-04-17,0.040000
2012-12-20,0.080000
2012-10-17,0.040000
2012-07-18,0.040000
2012-04-18,0.040000
2012-01-18,0.040000
2011-10-19,0.040000
2011-07-20,0.040000
2011-04-19,0.040000
2011-01-19,0.040000
2010-10-22,0.040000
2010-07-23,0.040000
2010-04-23,0.040000
2010-01-29,0.040000
2009-10-23,0.040000
2009-07-17,0.080000
2009-04-24,0.080000
2009-01-23,0.200000
2008-10-17,0.200000
2008-07-18,0.200000
2008-04-18,0.200000
2008-01-17,0.200000
2007-10-19,0.180000
2007-07-13,0.180000
2007-04-13,0.180000
2007-01-19,0.230000
2006-10-13,0.160000
2006-07-14,0.160000
2006-04-13,0.160000
2006-01-12,0.160000
2005-10-14,0.140000
2005-07-15,0.140000
2005-04-15,0.140000
2005-01-13,0.140000
2004-10-15,0.130000
2004-07-16,0.126670
2004-04-16,0.126670
2004-01-15,0.126670
2003-10-17,0.113330
2003-07-11,0.113330
2003-04-11,0.113330
2003-01-16,0.113330
2002-10-10,0.100000
2002-07-12,0.100000
2002-04-12,0.100000
2002-01-17,0.100000
2001-10-12,0.086670
2001-07-13,0.086670
2001-04-12,0.086670
2001-01-19,0.086670
2000-10-13,0.080000
2000-07-14,0.080000
2000-04-14,0.080000
2000-01-13,0.080000
1999-10-15,0.073330
1999-07-16,0.066670
1999-04-16,0.066670
1999-01-14,0.066670
1998-10-16,0.066670
