Date,Dividends
2010-11-09,0.020000
2010-08-11,0.040000
2010-05-12,0.040000
2010-02-10,0.040000
2009-11-10,0.040000
2009-08-12,0.040000
2009-05-13,0.080000
2009-02-11,0.080000
2008-11-12,0.120000
2008-08-13,0.120000
2008-05-13,0.120000
2008-02-13,0.120000
2007-11-07,0.120000
2007-08-10,0.120000
2007-05-10,0.120000
2007-02-14,0.120000
2006-11-08,0.120000
2006-08-09,0.110000
2006-05-09,0.110000
2006-02-15,0.110000
2005-11-08,0.100000
2005-08-10,0.100000
2005-05-10,0.100000
2005-02-14,0.100000
2004-11-08,0.100000
2004-08-10,0.100000
2004-05-11,0.090000
2004-02-10,0.090000
2003-11-10,0.090000
2003-08-13,0.090000
2003-05-13,0.090000
2003-02-11,0.090000
2002-11-12,0.085710
2002-08-13,0.085710
2002-05-15,0.085710
2002-02-12,0.085710
2001-11-14,0.085710
2001-08-15,0.085710
2001-05-14,0.085710
2001-02-09,0.085710
2000-11-08,0.085710
2000-08-09,0.085710
2000-05-17,0.085710
2000-02-11,0.080950
1999-11-09,0.079050
1999-08-11,0.076190
1999-05-12,0.069050
1999-02-17,0.069050
1998-11-18,0.069050
1998-08-12,0.069050
1998-05-13,0.066670
1998-02-11,0.047620
1997-11-12,0.063500
1997-08-13,0.063500
1997-05-14,0.056700
1997-02-12,0.056150
1996-11-13,0.051840
1996-08-14,0.047500
1996-05-15,0.045350
1996-02-21,0.044050
1996-02-14,0.045350
1995-11-15,0.045350
1995-08-16,0.045350
1995-05-15,0.045350
1995-02-17,0.043190
1995-02-13,0.043200
1994-11-14,0.043200
1994-08-12,0.043200
