Date,Dividends
2014-02-05,0.075000
2013-12-18,0.250000
2013-11-20,0.180000
2013-10-30,0.075000
2013-07-31,0.075000
2013-05-01,0.075000
2013-01-30,0.075000
2012-11-20,0.180000
2012-10-31,0.075000
2012-08-01,0.075000
2012-05-02,0.075000
2012-02-01,0.075000
2011-11-16,0.100000
2011-11-02,0.075000
2011-08-03,0.075000
2011-05-04,0.075000
2011-03-09,0.600000
2011-02-02,0.075000
2010-10-27,0.353400
2010-07-21,0.220880
2010-05-05,0.220880
2010-02-03,0.220880
2009-11-18,0.290000
2009-11-04,0.220880
2009-08-05,0.220880
2009-04-29,0.220880
2009-02-04,0.220880
2008-11-19,0.048590
2008-11-05,0.220880
2008-07-30,0.220880
2008-04-30,0.220880
2008-01-30,0.220880
2007-10-31,0.220880
2007-08-01,0.220880
2007-05-02,0.220880
2007-01-31,0.220880
2006-11-15,0.039760
2006-11-01,0.220880
2006-08-02,0.220880
2006-05-03,0.220880
2006-02-01,0.220880
2005-11-16,0.132530
2005-11-02,0.220880
2005-08-03,0.220880
2005-05-04,0.220880
2005-02-02,0.220880
2004-11-03,0.220880
2004-08-04,0.220880
2004-05-05,0.220880
2004-02-04,0.220880
2003-11-19,0.357820
2003-11-05,0.220880
2003-07-30,0.106020
2003-04-30,0.101600
2003-02-05,0.097190
2002-11-20,0.538940
2002-10-30,0.092770
2002-07-31,0.088350
2002-05-01,0.083930
2002-01-30,0.079520
2001-10-31,0.075100
2001-08-01,0.070680
2001-05-02,0.066260
2001-01-31,0.061850
2000-11-01,0.053010
2000-08-02,0.053010
2000-05-03,0.048590
2000-02-02,0.048590
1999-11-03,0.044180
1999-08-04,0.044180
1999-05-03,0.044180
