Date,Dividends
2012-12-12,0.555000
2012-11-28,0.055000
2012-08-29,0.055000
2012-05-30,0.055000
2012-02-29,0.050000
2011-11-30,0.050000
2011-08-31,0.045000
2011-06-01,0.045000
2011-03-02,0.040000
2010-12-01,0.040000
2010-09-01,0.030000
2010-06-02,0.030000
2010-03-03,0.025000
2009-12-02,0.025000
2009-09-02,0.025000
2009-06-03,0.025000
2009-03-04,0.075000
2008-11-25,0.075000
2008-08-27,0.075000
2008-05-28,0.042500
2008-02-27,0.042500
2007-11-14,0.042500
2007-08-08,0.042500
2007-05-09,0.042500
2007-02-07,0.042500
2006-11-08,0.042500
2006-08-09,0.042500
2006-05-11,0.040000
2006-05-10,0.040000
2006-02-08,0.040000
2005-11-08,0.040000
2005-08-03,0.040000
2005-05-04,0.040000
2005-02-09,0.040000
2004-11-03,0.040000
2004-08-04,0.040000
2004-05-05,0.030000
2004-02-18,0.030000
2003-11-06,0.030000
2003-08-27,0.030000
