Date,Dividends
2014-03-12,0.090000
2013-12-11,0.090000
2013-09-11,0.090000
2013-06-12,0.090000
2013-03-13,0.090000
2012-12-12,0.080000
2012-09-12,0.080000
2012-06-13,0.080000
2012-03-13,0.080000
2011-12-13,0.140020
2011-09-13,0.140020
2011-06-13,0.140020
2011-03-11,0.140020
2010-12-13,0.128350
2010-09-13,0.128350
2010-06-11,0.128350
2010-03-11,0.128350
2009-12-11,0.116690
2009-09-11,0.116690
2009-06-11,0.116690
2009-03-11,0.116690
2008-12-11,0.105020
2008-09-11,0.105020
2008-06-11,0.105020
2008-03-12,0.105020
2007-12-12,0.093350
2007-09-12,0.093350
2007-06-13,0.093350
2007-03-13,0.093350
2006-12-13,0.081680
2006-09-13,0.081680
2006-06-13,0.081680
2006-03-13,0.081680
2005-12-13,0.070010
2005-09-13,0.070010
2005-06-13,0.070010
2005-03-11,0.070010
2004-12-13,0.058340
2004-09-13,0.058340
2004-06-14,0.058340
2004-03-11,0.058340
