Date,Dividends
2014-02-03,0.120000
2013-11-04,0.110000
2013-08-05,0.100000
2013-05-06,0.100000
2013-02-04,0.100000
2012-11-05,0.090000
2012-08-06,0.300000
2012-05-07,0.220000
2012-02-06,0.370000
2011-11-07,0.130000
2011-08-08,0.060000
2011-05-09,0.050000
2011-02-15,0.030000
2010-11-08,0.010000
2010-08-09,0.010000
2010-05-10,0.010000
2010-02-08,0.010000
2009-11-09,0.010000
2009-08-03,0.010000
2009-05-04,0.010000
2009-02-09,0.040000
2008-11-03,0.070000
2008-08-04,0.170000
2008-05-05,0.170000
2008-02-04,0.170000
2007-11-05,0.170000
2007-08-06,0.170000
2007-05-07,0.170000
2007-02-05,0.150000
2006-11-06,0.150000
2006-08-07,0.150000
2006-05-08,0.140000
2006-02-06,0.130000
2005-11-07,0.120000
2005-08-08,0.110000
2005-05-10,0.090000
2005-02-07,0.070000
2004-11-08,0.070000
2004-08-09,0.070000
2004-05-10,0.070000
2004-02-09,0.047620
2003-11-03,0.047620
2003-08-05,0.047620
2003-05-05,0.047620
