Date,Dividends
2014-01-16,0.469000
2013-10-17,0.455000
2013-07-18,0.396000
2013-04-18,0.448000
2013-01-17,0.433000
2012-10-18,0.343000
2012-07-19,0.456000
2012-04-19,0.542000
2012-01-19,0.449000
2011-10-20,0.456000
2011-07-21,0.417000
2011-04-20,0.427000
2011-01-20,0.354000
2010-10-21,0.471000
2010-07-29,0.412000
2010-04-27,0.449000
2010-01-21,0.322000
2009-10-22,0.287000
2009-07-22,0.271000
2009-04-23,0.401000
2009-01-22,0.542000
2008-10-16,0.948000
2008-07-17,0.769000
2008-04-17,0.572000
2008-01-23,0.515000
2007-10-19,0.561000
2007-07-19,0.474000
2007-04-19,0.461000
2007-01-26,0.479000
2006-10-19,0.516000
2006-07-20,0.778000
2006-04-27,0.730000
2006-01-26,0.806000
2005-10-20,0.577000
2005-07-21,0.515000
2005-04-27,0.481000
2005-01-28,0.426000
2004-10-21,0.476000
2004-07-22,0.415000
2004-04-28,0.416000
2004-01-22,0.391000
2003-10-29,0.423000
2003-07-24,0.458000
2003-04-24,0.206000
