Date,Dividends
2014-03-06,0.050000
2013-11-21,0.050000
2013-09-09,0.070000
2013-06-24,0.050000
2013-02-13,0.050000
2012-11-27,0.050000
2012-08-23,0.050000
2012-07-03,0.150000
2012-03-16,0.020000
2011-12-01,0.020000
2011-09-14,0.030000
2011-07-06,0.050000
2011-03-21,0.050000
2010-07-02,0.050000
2009-12-11,0.100000
2009-03-10,0.040000
2008-10-21,0.080000
2008-10-20,0.080000
2008-07-07,0.120000
2008-02-29,0.170000
2007-11-28,0.100000
2007-08-29,0.170000
2007-07-24,0.170000
2007-07-02,0.170000
2007-02-21,0.170000
2006-11-28,0.170000
2006-08-21,0.170000
2006-06-28,0.140000
2006-03-29,0.140000
2005-12-20,0.160000
2005-08-18,0.160000
2005-06-24,0.170000
2005-03-11,0.173330
2004-11-24,0.160000
2004-08-19,0.160000
2004-06-23,0.160000
2004-03-05,0.160000
2003-11-13,0.160000
2003-08-27,0.306670
2003-03-06,0.133330
2002-11-19,0.126670
2002-08-19,0.126670
2002-06-13,0.124450
2002-02-07,0.106670
2001-11-08,0.106670
2001-08-16,0.106670
2001-06-20,0.253330
2000-11-20,0.146670
2000-06-20,0.244450
1999-11-19,0.146670
1999-06-11,0.073330
1998-11-19,0.073330
1997-11-28,0.077780
1997-06-12,0.072000
