Date,Dividends
2014-02-06,0.120000
2013-11-06,0.115000
2013-08-09,0.115000
2013-05-09,0.115000
2013-02-06,0.115000
2012-11-07,0.110000
2012-08-10,0.110000
2012-05-09,0.110000
2012-02-07,0.110000
2011-11-08,0.105000
2011-08-09,0.105000
2011-05-09,0.105000
2011-02-04,0.105000
2010-11-08,0.100000
2010-08-09,0.100000
2010-05-07,0.100000
2010-02-04,0.100000
2009-11-06,0.095000
2009-08-07,0.095000
2009-05-07,0.095000
2009-02-05,0.095000
2008-11-06,0.090000
2008-08-08,0.090000
2008-05-08,0.090000
2008-02-07,0.090000
2007-11-07,0.080000
2007-08-10,0.080000
2007-05-09,0.080000
2007-02-06,0.080000
2006-11-08,0.070000
2006-08-09,0.070000
2006-05-09,0.070000
2006-02-06,0.070000
2005-06-01,0.240000
