Date,Dividends
2014-03-12,0.080000
2013-12-11,0.080000
2013-09-11,0.080000
2013-06-12,0.080000
2013-03-13,0.080000
2012-12-12,0.120000
2012-09-12,0.120000
2012-06-13,0.120000
2012-03-07,0.120000
2011-12-07,0.120000
2011-09-07,0.120000
2011-06-08,0.120000
2011-03-09,0.120000
2010-12-08,0.150000
2010-09-08,0.120000
2010-06-09,0.120000
2010-03-10,0.120000
2009-12-09,0.150000
2009-05-01,0.400000
2008-12-09,0.400000
2008-05-07,0.400000
2007-05-04,0.220000
2006-04-28,0.200000
2005-06-01,0.150000
2004-05-24,0.120000
2003-05-23,0.100000
2002-07-30,0.060000
2001-07-30,0.040000
2000-07-28,0.020000
1999-07-28,0.020000
1998-07-29,0.020000
1997-07-30,0.010000
