Date,Dividends
2014-01-03,0.635000
2013-10-02,0.593000
2013-07-02,0.593000
2013-04-03,0.593000
2012-12-05,2.593000
2012-10-03,0.553000
2012-07-03,0.553000
2012-04-03,0.553000
2012-01-03,0.553000
2011-10-04,0.515000
2011-07-01,0.515000
2011-04-04,0.515000
2011-01-03,0.515000
2010-10-01,0.480000
2010-07-01,0.480000
2010-04-01,0.480000
2009-12-31,0.480000
2009-10-01,0.450000
2009-07-01,0.450000
2009-04-01,0.450000
2008-12-31,0.450000
2008-10-01,0.440000
2008-07-01,0.440000
2008-04-02,0.440000
2008-01-02,0.440000
2007-10-02,0.400000
2007-07-03,0.400000
2007-04-03,0.400000
2007-01-03,0.400000
2006-10-03,0.360000
2006-07-03,0.360000
2006-04-03,0.360000
2006-01-03,0.360000
2005-10-03,0.325000
2005-07-01,0.325000
2005-04-04,0.325000
2005-01-04,0.325000
2004-10-01,0.215000
2004-07-01,0.215000
2004-04-01,0.215000
2003-12-31,0.215000
2003-10-02,0.190000
2003-07-01,0.190000
2003-04-02,0.190000
2003-01-02,0.190000
2002-10-02,0.170000
2002-07-02,0.170000
2002-04-03,0.170000
2002-01-02,0.170000
2001-10-03,0.153000
2001-07-03,0.153000
2001-04-04,0.153000
2001-01-03,0.153000
2000-10-04,0.135000
2000-07-03,0.135000
2000-04-04,0.135000
2000-01-04,0.135000
1999-10-04,0.120000
1999-07-01,0.120000
1999-04-01,0.120000
1999-01-04,0.120000
1998-10-02,0.108000
1998-07-01,0.108000
1998-04-02,0.108000
1998-01-02,0.108000
1997-10-02,0.095000
1997-07-01,0.095000
1997-04-02,0.095000
1997-01-02,0.095000
1996-10-02,0.082000
1996-07-02,0.082000
1996-04-02,0.083330
1996-01-03,0.065000
