Date,Dividends
2013-08-28,0.015000
2013-06-03,0.015000
2013-02-27,0.015000
2012-11-30,0.015000
2012-08-29,0.020000
2012-05-31,0.040000
2012-02-29,0.050000
2011-11-30,0.070000
2011-08-31,0.070000
2011-05-27,0.070000
2011-02-25,0.060000
2010-11-23,0.060000
2010-08-23,0.060000
2010-06-09,0.050000
2010-03-15,0.050000
2009-12-09,0.050000
2009-08-25,0.100000
2009-06-03,0.100000
2009-03-10,0.100000
2008-12-12,0.200000
2008-09-03,0.320000
2008-06-04,0.310000
2008-03-03,0.300000
2007-11-01,0.290000
2007-08-13,0.250000
2007-05-30,0.240000
2007-01-25,0.220000
2006-12-06,0.210000
2006-08-31,0.180000
2006-05-31,0.180000
