Date,Dividends
2014-03-12,0.120000
2013-12-11,0.120000
2013-09-11,0.120000
2013-06-12,0.120000
2013-03-13,0.120000
2012-12-12,0.120000
2012-09-12,0.120000
2012-06-13,0.120000
2012-03-14,0.120000
2011-12-14,0.120000
2011-09-14,0.120000
2011-06-15,0.120000
2011-03-16,0.120000
2010-12-15,0.120000
2010-09-15,0.200000
2010-06-16,0.200000
2010-03-17,0.200000
2009-12-16,0.200000
2009-09-16,0.200000
2009-06-17,0.200000
2009-03-18,0.200000
2008-12-17,0.200000
2008-09-17,0.200000
2008-06-18,0.200000
2008-03-18,0.200000
2007-12-18,0.200000
2007-09-18,0.200000
2007-06-19,0.200000
2007-03-21,0.190000
2006-12-19,0.190000
2006-09-19,0.190000
2006-06-20,0.190000
2006-03-15,0.175000
2005-12-20,0.175000
2005-09-20,0.160000
2005-06-21,0.160000
2005-03-22,0.150000
2004-12-21,0.150000
2004-09-21,0.140000
2004-06-22,0.140000
2004-03-23,0.130000
2003-12-23,0.130000
2003-09-23,0.120000
2003-06-24,0.120000
2003-03-25,0.110000
2002-12-23,0.110000
2002-09-24,0.100000
2002-06-25,0.100000
2002-03-26,0.100000
2001-12-27,0.095000
2001-09-27,0.095000
2001-06-28,0.085000
2001-03-20,0.085000
2000-12-26,0.085000
2000-06-29,0.080000
2000-03-08,0.075000
