Date,Dividends
2014-01-16,0.040000
2013-10-10,0.040000
2013-07-12,0.040000
2013-04-12,0.040000
2013-01-11,0.030000
2012-10-12,0.030000
2012-07-13,0.030000
2012-04-13,0.030000
2012-01-12,0.030000
2011-10-14,0.030000
2009-10-16,0.020000
2009-07-17,0.010000
2009-04-17,0.070000
2009-01-15,0.150000
2008-10-17,0.150000
2008-07-11,0.200000
2008-04-11,0.280000
2008-01-11,0.280000
2007-10-12,0.270000
2007-07-13,0.270000
2007-04-13,0.290000
2007-01-11,0.290000
2006-10-13,0.280000
2006-07-14,0.280000
2006-04-13,0.280000
2006-01-12,0.280000
2005-10-14,0.280000
2005-07-15,0.280000
2005-04-15,0.280000
2005-01-13,0.280000
2004-10-15,0.270000
2004-07-16,0.270000
2004-04-16,0.270000
2004-01-15,0.270000
2003-10-20,0.260000
2003-10-17,0.260000
2003-07-11,0.260000
2003-04-11,0.260000
2003-01-16,0.260000
2002-10-11,0.610000
2002-07-12,0.250000
2002-04-12,0.250000
2002-01-11,0.190000
2001-10-12,0.510000
2001-10-11,0.190000
2001-07-13,0.180000
2001-04-12,0.180000
