Date,Dividends
2014-02-19,0.150000
2013-11-06,0.100000
2013-08-28,0.100000
2013-05-29,0.100000
2013-02-26,0.100000
2012-11-28,0.050000
2012-08-30,0.050000
2012-05-11,0.050000
2012-02-13,0.050000
2011-11-10,0.050000
2009-10-07,0.040000
2009-07-08,0.085000
2009-04-07,0.170000
2009-01-07,0.170000
2008-10-08,0.260000
2008-07-09,0.260000
2008-04-09,0.260000
2008-01-09,0.260000
2007-10-10,0.250000
2007-07-11,0.250000
2007-04-11,0.250000
2007-01-10,0.250000
2006-10-11,0.240000
2006-07-12,0.240000
2006-04-11,0.240000
2006-01-11,0.240000
2005-10-12,0.220000
2005-07-06,0.220000
2005-04-06,0.220000
2005-01-12,0.220000
2004-10-06,0.200000
2004-07-07,0.200000
2004-04-06,0.200000
2004-01-07,0.200000
2003-10-08,0.150000
2003-07-09,0.150000
2003-04-09,0.150000
2003-01-08,0.150000
2002-10-09,0.130000
2002-07-10,0.130000
2002-04-10,0.130000
2002-01-09,0.130000
2001-10-10,0.120000
2001-07-11,0.120000
2001-04-10,0.120000
2001-01-10,0.120000
2000-10-11,0.110000
2000-07-12,0.110000
2000-04-12,0.110000
2000-01-12,0.110000
1999-10-06,0.100000
1999-07-07,0.100000
1999-04-07,0.100000
1999-01-06,0.100000
1998-10-07,0.090000
1998-07-07,0.090000
1998-04-07,0.090000
1998-01-07,0.090000
1997-10-08,0.080000
1997-07-08,0.080000
1997-04-08,0.080000
1997-01-08,0.080000
1996-10-09,0.070000
1996-07-10,0.070000
1996-04-10,0.070000
1996-01-09,0.070000
1995-08-31,0.150000
1995-07-10,0.150000
1995-04-06,0.150000
1995-01-06,0.150000
1994-10-05,0.150000
1994-07-06,0.150000
1994-04-06,0.150000
1994-01-06,0.150000
1993-10-05,0.125000
