Date,Dividends
2013-12-27,0.120000
2013-09-26,0.120000
2013-06-26,0.120000
2013-03-26,0.110000
2012-12-27,0.100000
2012-09-26,0.100000
2012-06-27,0.080000
2012-03-28,0.080000
2011-12-28,0.080000
2011-09-28,0.080000
2011-06-29,0.060000
2011-03-30,0.060000
2010-12-29,0.010000
2010-09-28,0.010000
2010-06-28,0.010000
2010-03-29,0.010000
2009-12-29,0.010000
2009-09-28,0.010000
2009-06-26,0.010000
2009-03-27,0.010000
2008-12-29,0.010000
2008-09-26,0.150000
2008-06-26,0.150000
2008-03-27,0.440000
2007-12-27,0.440000
2007-09-26,0.420000
2007-06-27,0.420000
2007-03-28,0.420000
2006-12-27,0.400000
2006-09-27,0.400000
2006-06-28,0.400000
2006-03-30,0.380000
2005-12-29,0.380000
2005-12-28,0.000000
2005-09-28,0.380000
2005-06-28,0.350000
2005-03-29,0.350000
2004-12-30,0.350000
2004-09-28,0.320000
2004-06-28,0.320000
2004-03-29,0.320000
2003-12-29,0.290000
2003-09-26,0.290000
2003-06-26,0.290000
2003-03-27,0.260000
2002-12-27,0.260000
2002-09-26,0.260000
2002-06-26,0.230000
2002-03-26,0.230000
2001-12-27,0.230000
2001-09-26,0.200000
2001-06-27,0.200000
2001-03-28,0.200000
2000-12-27,0.180000
2000-09-27,0.180000
2000-06-28,0.180000
2000-03-29,0.133330
2000-03-24,0.240000
1999-12-29,0.160000
1999-09-28,0.240000
1999-06-28,0.133330
1999-03-29,0.133330
1998-12-29,0.133330
1998-09-28,0.113330
1998-06-26,0.113330
1998-03-27,0.113330
1997-12-29,0.097780
1997-09-26,0.097780
1997-06-26,0.097780
1997-03-26,0.085930
1996-12-27,0.085930
1996-09-26,0.085930
1996-06-26,0.077030
1996-03-27,0.077030
1995-12-27,0.077030
1995-09-27,0.069130
1995-06-28,0.069130
1995-03-27,0.069130
1994-12-23,0.061230
1994-09-26,0.061230
1994-06-24,0.061230
1994-03-25,0.053330
1993-12-27,0.053330
1993-09-24,0.053330
1993-06-24,0.047410
1993-03-25,0.047410
1992-12-24,0.047410
1992-09-24,0.043460
1992-06-24,0.043460
1992-03-25,0.043460
1991-12-24,0.039510
1991-09-24,0.039510
1991-06-24,0.039510
1991-03-22,0.270000
1990-12-24,0.035550
1990-09-24,0.035550
1990-06-25,0.031610
1990-03-26,0.031610
