Date,Dividends
2014-03-07,0.260000
2013-10-01,0.260000
2013-07-02,0.250000
2013-03-12,0.250000
2012-11-26,0.250000
2012-10-01,0.250000
2012-07-02,0.230000
2012-03-15,0.230000
2011-12-29,0.230000
2011-10-04,0.230000
2011-07-01,0.220000
2011-03-16,0.220000
2010-12-29,0.220000
2010-10-01,0.220000
2010-06-24,0.200000
2010-03-11,0.200000
2009-12-29,0.200000
2009-09-30,0.200000
2009-06-24,0.180000
2009-03-26,0.180000
2008-12-29,0.180000
2008-09-26,0.180000
2008-06-26,0.150000
2008-03-27,0.150000
2007-12-27,0.150000
2007-09-28,0.150000
2007-06-29,0.140000
2007-04-03,0.140000
2007-01-05,0.275000
2006-06-30,0.225000
2006-01-06,0.225000
2005-06-30,0.210000
2004-12-30,0.210000
2004-07-01,0.180000
2003-12-30,0.180000
2003-07-02,0.170000
2002-12-31,0.170000
2002-07-03,0.143330
2002-01-02,0.143330
2001-07-05,0.126660
2001-01-03,0.126660
2000-07-05,0.113340
2000-01-05,0.113340
1999-07-07,0.050000
1998-12-30,0.050000
1998-07-02,0.045000
1998-06-29,0.045000
1997-12-30,0.044440
1997-07-07,0.037780
1996-12-30,0.037780
1996-07-03,0.033330
1995-12-28,0.032590
