Date,Dividends
2014-02-05,0.080000
2013-11-06,0.080000
2013-08-07,0.080000
2013-05-01,0.080000
2013-02-06,0.080000
2012-10-31,0.080000
2012-08-01,0.080000
2012-05-02,0.080000
2012-02-01,0.080000
2011-11-04,0.160000
2011-08-05,0.160000
2011-05-06,0.160000
2011-02-04,0.160000
2010-10-29,0.150000
2010-08-06,0.140000
2010-05-07,0.140000
2010-02-05,0.140000
2009-11-06,0.140000
2009-07-31,0.140000
2009-05-08,0.140000
2009-02-06,0.140000
2008-10-31,0.140000
2008-08-01,0.140000
2008-05-09,0.140000
2008-02-08,0.140000
2007-10-26,0.140000
2007-08-03,0.140000
2007-05-07,0.130000
2007-02-02,0.130000
2006-10-27,0.120000
2006-08-04,0.120000
2006-05-08,0.110000
2006-02-03,0.110000
2005-10-28,0.100000
2005-08-05,0.100000
2005-05-06,0.090000
2005-02-04,0.090000
2004-10-29,0.080000
2004-07-30,0.080000
2004-05-07,0.070000
2004-02-06,0.070000
2003-10-31,0.060000
2003-07-25,0.060000
2003-04-25,0.050000
2003-02-07,0.050000
2002-10-25,0.042520
2002-07-26,0.042520
2002-04-26,0.042520
2002-02-01,0.038660
2001-10-26,0.038660
2001-07-27,0.034790
2001-05-04,0.034790
2001-02-02,0.030930
2000-10-27,0.030930
2000-07-28,0.027060
2000-05-02,0.027060
2000-02-07,0.023190
1999-10-29,0.023190
1999-06-25,0.015460
1999-03-26,0.015460
1998-12-24,0.011600
1998-09-25,0.011600
