Date,Dividends
2014-03-10,0.125000
2013-09-09,0.125000
2013-03-11,0.075090
2012-09-10,0.075090
2012-03-12,0.075090
2011-09-12,0.083920
2011-03-14,0.066240
2010-09-03,0.066240
2010-03-08,0.066240
2009-09-04,0.053000
2009-03-09,0.053000
2008-09-08,0.053000
2008-03-10,0.053000
2007-09-10,0.044170
2007-03-12,0.044170
2006-09-11,0.044170
2006-03-13,0.044170
2005-09-12,0.070670
2005-03-14,0.017670
2004-09-14,0.018550
2004-03-23,0.020320
2003-09-09,0.017670
2003-03-27,0.015900
2002-09-03,0.014580
2002-03-26,0.013690
2001-03-27,0.013690
2000-09-12,0.015460
2000-03-28,0.016780
1999-10-05,0.017230
1999-04-06,0.013240
1998-09-08,0.015460
1998-03-31,0.017670
1997-09-09,0.017670
1997-04-01,0.020320
1996-09-17,0.020760
1996-04-02,0.017670
1995-09-19,0.017670
1995-03-31,0.017670
1994-09-23,0.012520
1994-04-08,0.012520
1993-09-21,0.011780
1993-04-08,0.011780
1992-09-18,0.010600
1992-04-06,0.011040
1991-11-22,0.003680
1991-09-20,0.009860
1991-08-19,0.009720
1990-09-14,0.012230
1990-03-23,0.011040
