Date,Dividends
2014-03-11,0.100000
2013-12-11,0.110000
2013-09-12,0.100000
2013-06-12,0.090000
2013-03-04,0.100000
2012-12-04,0.170000
2012-09-04,0.090000
2012-06-04,0.100000
2012-03-02,0.100000
2011-12-02,0.110000
2011-09-01,0.110000
2011-06-02,0.100000
2011-03-03,0.090000
2009-03-04,0.090000
2008-12-04,0.100000
2008-09-04,0.120000
2008-06-04,0.120000
2008-03-04,0.130000
2007-12-04,1.618000
2007-09-04,0.130000
2007-06-04,0.130000
2007-03-02,0.130000
2006-12-04,1.200000
2006-09-01,0.130000
2006-06-02,0.120000
2006-03-02,0.120000
2005-12-02,0.850000
2005-09-01,0.120000
2005-06-02,0.120000
2005-03-03,0.120000
2004-12-02,1.420000
2004-09-03,0.110000
2004-06-04,0.110000
2004-03-04,0.100000
2003-12-04,0.620000
2002-12-04,0.090000
2001-12-04,0.140000
2000-12-04,0.340000
1999-12-02,0.133000
1998-12-03,0.132000
1998-03-04,0.132000
1997-01-02,0.042000
1996-01-02,0.028000
1994-06-24,0.062000
1993-04-08,0.122000
1993-01-08,0.125000
1992-10-05,0.135000
1992-07-06,0.140000
1992-04-01,0.150000
