Date,Dividends
2013-12-31,0.110000
2013-09-25,0.110000
2013-06-26,0.100000
2013-04-03,0.100000
2012-12-20,0.100000
2012-09-26,0.100000
2012-06-27,0.086670
2012-04-03,0.086670
2011-12-29,0.080000
2011-09-28,0.080000
2011-06-29,0.075550
2011-03-30,0.075550
2010-12-30,0.075550
2010-09-29,0.075550
2010-06-29,0.075550
2010-04-12,0.075550
2009-12-30,0.075550
2009-09-30,0.075550
2009-06-30,0.075550
2009-04-01,0.075550
2008-12-30,0.075550
2008-09-30,0.075550
2008-07-01,0.075550
2008-04-02,0.066670
2008-01-02,0.066670
2007-10-02,0.066670
2007-07-02,0.066670
2007-03-29,0.062220
2007-01-03,0.062220
2006-09-28,0.062220
2006-06-30,0.062220
2006-03-30,0.062220
2005-12-29,0.062220
2005-09-29,0.057780
2005-06-30,0.057780
2005-03-30,0.057780
2004-12-30,0.057780
2004-09-30,0.053330
2004-06-30,0.053330
2004-03-30,0.053330
2003-12-30,0.053330
2003-09-30,0.047410
2003-07-01,0.047410
2003-03-20,0.047410
2002-12-24,0.047410
2002-09-26,0.044450
2002-06-27,0.044450
2002-03-27,0.044450
