Date,Dividends
2014-02-12,0.070000
2012-12-06,0.040000
2012-09-05,0.040000
2012-06-06,0.040000
2012-03-07,0.040000
2011-12-07,0.030000
2011-09-07,0.030000
2011-06-08,0.030000
2011-03-09,0.030000
2010-10-13,0.107450
2010-08-04,0.107450
2010-05-05,0.107450
2010-02-03,0.107450
2009-11-04,0.095510
2009-08-05,0.095510
2009-05-06,0.095510
2009-02-04,0.095510
2008-11-05,0.083570
2008-07-30,0.083570
2008-04-30,0.083570
2008-01-30,0.083570
2007-10-31,0.071630
2007-08-01,0.071630
2007-05-09,0.071630
2007-01-31,0.071630
2006-11-01,0.059690
2006-08-02,0.059690
2006-05-03,0.059690
2006-02-01,0.059690
2005-11-01,0.059690
