Date,Dividends
2014-02-19,0.171000
2013-11-13,0.170000
2013-08-14,0.169000
2013-05-08,0.168000
2013-02-20,0.166000
2012-10-24,0.165000
2012-07-25,0.164000
2012-04-25,0.163000
2012-02-22,0.161000
2011-10-26,0.160000
2011-07-27,0.159000
2011-04-19,0.158000
2011-02-09,0.156000
2010-10-20,0.155330
2010-07-21,0.153330
2010-04-21,0.146670
2010-02-10,0.140000
2009-10-21,0.133330
2009-07-22,0.126670
2009-04-22,0.120000
2009-02-04,0.113330
2008-10-22,0.106670
2008-07-23,0.100000
2008-04-23,0.093330
2008-01-31,0.086670
2007-10-25,0.080000
2007-07-25,0.071110
2007-04-25,0.066670
2007-02-01,0.062220
2006-10-25,0.057780
2006-07-26,0.053330
2006-04-26,0.048890
2006-02-01,0.044450
2005-10-27,0.040000
2005-07-27,0.035550
2005-05-02,0.020740
2005-01-26,0.026670
2004-10-27,0.023700
2004-07-28,0.020740
2004-04-28,0.017780
2004-01-28,0.015800
2003-10-29,0.013830
2003-09-11,0.011850
1991-03-25,0.001930
1990-03-27,0.001490
