Date,Dividends
2013-12-27,0.120000
2013-11-27,0.480000
2013-09-26,0.120000
2013-06-26,0.120000
2013-03-26,0.120000
2012-12-27,0.080000
2012-09-26,0.080000
2012-06-27,0.080000
2012-03-28,0.080000
2011-12-28,0.080000
2011-09-28,0.080000
2011-06-28,0.080000
2011-03-29,0.080000
2010-12-29,0.065000
2010-09-28,0.065000
2010-06-28,0.065000
2010-03-29,0.065000
2009-12-29,0.033000
2009-09-28,0.033000
2009-06-26,0.033000
2009-03-27,0.033000
2008-12-29,0.033000
2008-09-26,0.033000
2008-06-26,0.033000
2008-03-27,0.033330
2007-12-27,0.033330
2007-09-26,0.033330
2007-06-27,0.033330
2007-03-28,0.033330
2006-12-27,0.026670
2006-09-27,0.026670
2006-06-28,0.026670
2006-03-29,0.026670
2005-12-28,0.026670
2005-09-28,0.026670
2005-06-28,0.026670
2005-03-29,0.026670
2004-12-29,0.020000
2004-09-28,0.020000
2004-06-28,0.020000
2004-03-29,0.020000
2003-12-29,0.013330
2003-09-26,0.013330
2003-06-26,0.013330
2003-03-27,0.013330
2002-12-27,0.010000
2002-09-26,0.010000
2002-06-26,0.010000
2002-03-26,0.010000
