Date,Dividends
2014-03-05,0.440000
2013-12-05,0.440000
2013-09-05,0.400000
2013-06-06,0.400000
2013-03-06,0.380000
2012-12-06,5.380000
2012-09-05,0.360000
2012-06-06,0.360000
2012-03-07,0.360000
2011-12-07,0.360000
2011-09-07,0.330000
2011-06-08,0.330000
2011-03-08,0.330000
2010-12-08,0.330000
2010-09-08,0.300000
2010-06-08,0.300000
2010-03-08,0.300000
2009-12-08,0.300000
2009-09-08,0.285000
2009-06-08,0.285000
2009-03-06,0.285000
2008-12-08,0.285000
2008-09-08,0.280000
2008-06-06,0.280000
2008-03-06,0.280000
2007-12-06,0.280000
2007-09-06,0.270000
2007-06-06,0.270000
2007-03-07,0.270000
2006-12-06,0.270000
2006-09-06,0.260000
2006-06-07,0.260000
2006-03-08,0.260000
2005-12-07,0.260000
2005-09-07,0.250000
2005-06-08,0.250000
2005-03-08,0.250000
2004-12-08,0.250000
2004-09-08,0.230000
2004-06-08,0.230000
2004-03-08,0.230000
2003-12-08,0.230000
2003-09-08,0.200000
2003-06-06,0.200000
2003-03-06,0.200000
2002-12-06,0.200000
2002-09-06,0.180000
2002-06-06,0.180000
2002-03-06,0.180000
2001-12-06,0.180000
2001-09-06,0.170000
2001-06-07,0.170000
2001-03-08,0.170000
2000-12-06,0.170000
2000-09-06,0.160000
2000-06-07,0.160000
2000-03-08,0.160000
1999-12-08,0.160000
1999-09-08,0.150000
1999-06-08,0.150000
1999-03-08,0.150000
1998-12-08,0.150000
1998-09-08,0.140000
1998-06-08,0.140000
1998-03-06,0.140000
1997-12-08,0.133330
1997-09-08,0.126670
1997-06-06,0.126670
1997-03-06,0.120000
1996-12-06,0.120000
1996-09-06,0.113330
1996-06-06,0.113330
1996-03-06,0.113330
1995-12-06,0.113330
1995-09-07,0.100000
1995-06-06,0.100000
1995-03-06,0.093330
1994-12-05,0.093330
1994-09-02,0.080000
1994-06-06,0.080000
1994-03-04,0.075000
1993-12-06,0.075000
1993-09-03,0.065000
1993-06-04,0.065000
1993-03-04,0.063750
1992-12-04,0.063750
1992-09-03,0.056250
1992-06-04,0.056250
1992-03-04,0.055000
1991-12-04,0.055000
1991-09-04,0.050000
1991-06-04,0.050000
1991-03-05,0.050000
1990-12-04,0.050000
1990-09-04,0.047500
1990-06-05,0.047500
