Date,Dividends
2014-03-06,0.242000
2014-02-06,0.242000
2014-01-09,0.242000
2013-12-10,0.242000
2013-11-06,0.242000
2013-10-09,0.242000
2013-09-06,0.242000
2013-08-08,0.242000
2013-07-08,0.242000
2013-05-06,0.725000
2013-02-05,0.725000
2012-11-02,0.725000
2012-08-03,0.725000
2012-05-04,0.725000
2012-02-03,0.690000
2011-11-02,0.690000
2011-08-03,0.690000
2011-05-04,0.660000
2011-02-03,0.660000
2010-11-02,0.660000
2010-08-04,0.630000
2010-05-05,0.630000
2010-02-03,0.630000
2009-11-04,0.630000
2009-08-05,0.630000
2009-05-04,0.630000
2009-02-04,0.630000
2008-11-05,0.630000
2008-08-05,0.630000
2008-05-02,0.630000
2008-02-06,0.630000
2007-10-31,0.570000
2007-07-31,0.570000
2007-05-01,0.520000
2007-01-25,0.520000
2006-10-18,0.430000
2006-08-02,0.400000
2006-05-03,0.320000
