Date,Dividends
2014-02-12,0.270000
2013-11-13,0.260000
2013-08-14,0.260000
2013-05-15,0.260000
2012-12-13,0.260000
2012-11-14,0.250000
2012-08-15,0.250000
2012-05-16,0.250000
2012-02-15,0.250000
2011-11-16,0.240000
2011-08-17,0.240000
2011-05-18,0.240000
2011-02-16,0.240000
2010-11-09,0.230000
2010-08-11,0.230000
2010-05-12,0.230000
2010-02-10,0.230000
2009-11-10,0.220000
2009-08-12,0.220000
2009-05-13,0.220000
2009-02-11,0.220000
2008-11-12,0.210000
2008-08-13,0.210000
2008-05-14,0.210000
2008-02-13,0.210000
2007-11-14,0.180000
2007-08-08,0.180000
2007-04-25,0.180000
2007-01-24,0.180000
2006-10-25,0.150000
2006-08-02,0.150000
2006-04-26,0.150000
2006-01-25,0.150000
2005-10-26,0.100000
2005-08-03,0.100000
2005-04-27,0.100000
2005-01-26,0.100000
2004-10-20,0.080000
2004-07-28,0.080000
2004-04-21,0.080000
2004-01-21,0.080000
2003-10-22,0.060000
2003-07-30,0.060000
2003-04-23,0.060000
2003-01-22,0.050000
2002-10-23,0.050000
2002-07-31,0.050000
2002-04-24,0.050000
2002-01-23,0.040000
2001-10-24,0.040000
2001-08-01,0.040000
2001-04-25,0.040000
2001-01-24,0.030000
2000-10-25,0.030000
2000-08-02,0.030000
2000-04-26,0.030000
2000-01-26,0.020000
1999-10-20,0.020000
1999-07-28,0.020000
1999-04-21,0.020000
1999-01-20,0.017500
1998-10-21,0.017500
1998-07-29,0.017500
1998-04-22,0.015000
1998-01-21,0.015000
1997-10-22,0.015000
1997-07-30,0.015000
1997-04-23,0.012500
1997-01-22,0.012500
1996-10-23,0.012500
1996-07-31,0.012500
1996-04-24,0.010000
1996-01-24,0.010000
1995-10-25,0.010000
1995-08-02,0.010000
1995-04-24,0.008750
1995-01-23,0.008750
1994-10-24,0.008750
1994-08-01,0.007500
1994-04-25,0.007500
1994-01-24,0.007500
1993-10-18,0.007500
1993-08-06,0.006250
1993-04-19,0.006250
1993-01-25,0.006250
1992-11-19,0.001560
