Date,Dividends
2014-02-26,0.170000
2013-11-19,0.170000
2013-08-20,0.170000
2013-05-22,0.170000
2013-02-27,0.130000
2012-11-20,0.130000
2012-08-21,0.130000
2012-05-16,0.130000
2012-02-22,0.100000
2011-11-25,0.100000
2011-08-16,0.094250
2011-05-18,0.094250
2011-02-23,0.082940
2010-11-16,0.082940
2010-08-17,0.037700
2010-05-19,0.037700
2010-02-17,0.037700
2009-03-30,0.082040
2008-11-26,0.082040
2008-09-09,0.082040
2008-06-24,0.082040
2008-04-01,0.069920
2007-12-04,0.069920
2007-09-04,0.069920
2007-06-19,0.069920
2007-03-28,0.058730
2006-12-05,0.058730
2006-08-30,0.058730
2006-06-20,0.058730
2006-03-29,0.048930
2005-12-13,0.048930
2005-09-06,0.048930
2005-06-21,0.048930
2005-03-29,0.039610
2004-12-14,0.039610
2004-09-07,0.039610
2004-06-22,0.039610
2004-03-30,0.034960
2003-12-22,0.034960
2003-09-29,0.034960
2003-06-23,0.034960
2003-03-31,0.032630
2002-12-23,0.032630
2002-09-23,0.032630
2002-06-25,0.032630
2002-04-02,0.030290
2001-12-26,0.030290
2001-09-26,0.030290
2001-06-27,0.030290
2001-03-28,0.027960
2000-12-27,0.027960
2000-09-21,0.027960
2000-06-22,0.027960
2000-03-29,0.025640
1999-12-29,0.025640
1999-09-22,0.025640
1999-06-23,0.026110
1999-04-01,0.023310
1998-12-24,0.023310
1998-09-23,0.023310
1998-06-24,0.023310
1998-04-16,0.020970
