Date,Dividends
2014-02-26,0.362000
2013-11-26,0.378000
2013-08-28,0.351000
2013-05-29,0.395000
2013-02-26,0.335000
2012-11-28,0.293000
2012-08-29,0.384000
2012-05-29,0.431000
2012-02-27,0.502000
2011-11-28,0.522000
2011-08-29,0.540000
2011-05-26,0.415000
2011-02-24,0.359000
2010-11-26,0.344000
2010-08-27,0.375000
2010-05-26,0.376000
2010-02-24,0.323000
2009-11-25,0.323000
2009-08-27,0.246000
2009-05-27,0.261000
2009-02-25,0.302000
2008-11-25,0.885000
2008-08-27,0.770000
2008-05-28,0.746000
2008-02-27,0.645000
2007-11-28,0.761000
2007-08-29,0.771000
2007-05-29,0.703000
2007-02-26,0.613000
2006-11-28,0.576000
2006-08-29,0.568000
2006-05-26,0.447000
2006-02-24,0.392000
2005-11-28,0.789000
2005-08-29,0.609000
2005-05-26,0.543000
2005-02-24,0.542000
2004-11-26,0.559000
2004-08-27,0.645000
2004-05-26,0.534000
2004-02-25,0.557000
2003-11-25,0.762000
2003-08-27,0.778000
2003-05-28,0.412000
2003-02-26,0.656000
2002-11-26,0.629000
2002-08-28,0.542000
2002-05-29,0.459000
2002-02-26,0.486000
2001-11-28,0.724000
2001-08-29,1.134000
2001-05-29,1.174000
2001-02-26,0.935000
2000-11-28,0.862000
2000-08-29,0.623000
2000-05-26,0.643000
2000-02-29,0.555000
1999-11-26,0.516000
1999-08-27,0.375000
1999-05-26,0.338000
1999-02-24,0.338000
1998-11-25,0.405000
1998-08-27,0.375000
1998-05-27,0.402000
1998-02-25,0.440000
1997-11-25,0.442000
1997-08-27,0.478000
1997-05-28,0.492000
1997-02-26,0.478000
1996-11-26,0.425000
1996-08-28,0.375000
1996-05-29,0.318000
1996-02-27,0.282000
1995-11-28,0.270000
1995-08-29,0.270000
