Date,Dividends
2014-01-30,0.110000
2013-11-21,0.110000
2013-07-25,0.100000
2013-04-25,0.100000
2013-01-24,0.100000
2012-11-21,0.100000
2012-07-26,0.090000
2012-04-26,0.090000
2012-02-02,0.090000
2011-10-27,0.090000
2011-07-28,0.080000
2011-04-28,0.080000
2011-01-27,0.080000
2010-10-21,0.080000
2010-07-29,0.070000
2010-04-29,0.070000
2010-01-28,0.070000
2009-10-29,0.070000
2009-07-31,0.065000
2009-04-30,0.065000
2009-01-29,0.065000
2008-10-29,0.065000
2008-07-31,0.060000
2008-05-01,0.060000
2008-01-31,0.060000
2007-10-29,0.060000
2007-07-27,0.055000
2007-04-26,0.055000
2007-01-29,0.055000
2006-10-27,0.055000
2006-07-27,0.050000
2006-05-03,0.050000
2006-01-27,0.050000
2005-10-27,0.050000
2005-07-27,0.045000
2005-04-27,0.045000
2005-01-27,0.045000
2004-10-27,0.045000
2004-07-28,0.040000
2004-04-28,0.040000
2004-01-28,0.040000
2003-10-29,0.040000
2003-07-29,0.028000
2003-04-30,0.028000
2003-01-29,0.028000
2002-10-29,0.028000
2002-07-29,0.026000
2002-04-26,0.026000
2002-01-23,0.026000
2001-10-29,0.026000
2001-07-27,0.025000
2001-04-26,0.025000
2001-01-25,0.025000
2000-10-27,0.025000
2000-07-27,0.024000
2000-04-26,0.024000
2000-01-26,0.024000
1999-10-27,0.024000
1999-07-28,0.022500
1999-04-28,0.022500
1999-01-27,0.022500
1998-10-28,0.022500
1998-07-29,0.021000
1998-04-29,0.021250
1998-01-28,0.021250
1997-10-29,0.021250
1997-07-31,0.020000
1997-03-26,0.020000
1996-12-27,0.020000
1996-09-26,0.020000
1996-06-26,0.017500
1996-03-27,0.017500
1995-12-27,0.017500
1995-09-27,0.017500
1995-06-28,0.015000
1995-03-27,0.015000
1994-12-23,0.015000
1994-09-26,0.015000
