Date,Dividends
2014-02-11,0.050000
2013-11-06,0.050000
2013-08-12,0.050000
2013-05-06,0.043000
2012-12-14,0.043000
2012-11-07,0.043000
2012-08-07,0.040000
2012-05-07,0.040000
2012-02-06,0.040000
2011-11-07,0.040000
2011-08-08,0.040000
2011-05-09,0.035000
2011-02-07,0.035000
2010-11-08,0.035000
2010-08-09,0.035000
2010-05-10,0.035000
2010-02-08,0.035000
2009-11-06,0.035000
2009-08-10,0.035000
2009-05-11,0.035000
2009-02-09,0.035000
2008-11-03,0.035000
2008-08-01,0.035000
2008-05-02,0.035000
2008-02-07,0.030000
2007-11-01,0.030000
2007-08-03,0.030000
2007-05-04,0.030000
