Date,Dividends
2014-02-13,0.150000
2013-11-07,0.140000
2013-08-08,0.140000
2013-05-09,0.140000
2013-02-14,0.140000
2012-11-07,0.140000
2012-08-09,0.140000
2012-05-03,0.140000
2012-02-09,0.140000
2011-11-03,0.100000
2011-08-04,0.100000
2011-05-05,0.100000
2011-02-02,0.100000
2010-11-04,0.086670
2010-08-05,0.086670
2010-05-06,0.086670
2010-02-04,0.086670
2009-11-05,0.080000
2009-08-06,0.080000
2009-05-07,0.080000
2009-02-05,0.080000
2008-11-06,0.073330
2008-08-07,0.073330
2008-05-08,0.073330
2008-02-07,0.073330
2007-11-07,0.066670
2007-08-09,0.066670
2007-05-10,0.046670
2007-02-08,0.046670
2006-11-02,0.040000
2006-08-03,0.040000
2006-05-04,0.040000
2006-02-02,0.040000
2005-11-03,0.033330
2005-08-04,0.033330
2005-05-05,0.033330
2005-02-03,0.033330
2004-11-04,0.033330
2004-08-05,0.033330
2004-05-07,0.033330
2004-02-03,0.022220
2003-10-30,0.022220
2003-07-31,0.022220
