Date,Dividends
2014-03-10,0.120000
2013-11-21,0.110000
2013-08-21,0.110000
2013-05-22,0.110000
2013-03-06,0.110000
2012-11-21,2.100000
2012-08-16,0.100000
2012-05-24,0.100000
2012-03-07,0.100000
2011-11-23,0.090000
2011-08-25,0.090000
2011-05-26,0.090000
2011-03-07,0.090000
2010-11-23,0.080000
2010-08-25,0.080000
2010-05-26,0.080000
2010-02-25,0.080000
2009-11-24,0.070000
2009-08-26,0.070000
2009-05-27,0.070000
2009-02-27,0.070000
2008-11-25,0.060000
2008-08-27,0.060000
2008-05-28,0.060000
2008-02-27,0.060000
2007-11-28,0.050000
2007-08-29,0.050000
2007-05-29,0.050000
2007-02-26,0.050000
2006-11-28,0.040000
2006-08-29,0.040000
2006-05-31,0.040000
2006-02-16,0.040000
2005-11-29,0.040000
2005-08-18,0.040000
