Date,Dividends
2011-08-10,0.230000
2011-05-11,0.230000
2011-02-09,0.230000
2010-11-09,0.225000
2010-08-04,0.225000
2010-05-05,0.220000
2010-02-10,0.220000
2009-11-10,0.220000
2009-08-12,0.220000
2009-05-13,0.220000
2009-02-11,0.220000
2008-11-05,0.220000
2008-08-06,0.220000
2008-05-07,0.220000
2008-02-06,0.210000
2007-11-01,0.210000
2007-08-08,0.210000
2007-05-09,0.200000
2007-02-07,0.200000
2006-11-06,0.190480
2006-08-07,0.190480
2006-05-08,0.190480
2006-02-06,0.171430
2005-12-08,0.152380
2005-10-04,0.142860
2005-07-05,0.133330
2005-04-01,0.126980
2005-01-06,0.117910
2004-09-30,0.117910
2004-06-30,0.108850
2003-12-29,0.104300
2003-10-02,0.095240
2003-07-01,0.095240
2003-03-31,0.086380
2002-12-31,0.086380
2002-10-02,0.077740
2002-07-05,0.073430
2002-04-02,0.073430
2001-12-28,0.069100
2001-10-03,0.064790
2001-07-02,0.061700
2001-03-29,0.061700
1999-12-29,0.057590
