Date,Dividends
2014-01-15,0.220000
2013-10-09,0.210000
2013-07-10,0.190000
2013-04-10,0.170000
2013-01-16,0.150000
2012-10-10,0.140000
2012-07-11,0.130000
2012-04-11,0.120000
2012-01-11,0.110000
2011-10-12,0.100000
2011-07-13,0.095000
2011-04-13,0.090000
2011-01-12,0.085000
2010-10-13,0.080000
2010-07-14,0.075000
2010-04-14,0.075000
2010-01-14,0.070000
2009-10-28,0.065000
2009-07-29,0.065000
2009-04-29,0.065000
2009-01-28,0.065000
2008-10-22,0.065000
2008-07-23,0.065000
2008-04-23,0.060000
2008-01-23,0.060000
2007-10-24,0.060000
2007-07-25,0.055000
2007-04-25,0.050000
2007-01-24,0.050000
2006-10-25,0.050000
2006-07-26,0.050000
2006-04-26,0.050000
2006-01-25,0.050000
2005-10-26,0.050000
2005-07-27,0.050000
2005-04-27,0.045000
2005-02-02,0.040000
2004-10-27,0.040000
2004-07-28,0.040000
2004-04-28,0.035000
2004-01-28,0.035000
2003-10-29,0.032500
2003-07-30,0.030000
2003-04-30,0.027500
2003-01-23,0.025000
2002-10-17,0.025000
2002-07-18,0.020000
2002-04-18,0.017500
2002-01-16,0.015000
2001-10-03,0.015000
2001-07-05,0.015000
2001-04-04,0.013750
2001-01-04,0.013750
2000-10-04,0.013750
2000-07-06,0.013750
2000-04-05,0.012500
2000-01-05,0.012500
1999-10-06,0.012500
1999-07-07,0.012500
1999-04-07,0.012500
1999-01-06,0.012500
1998-10-07,0.007500
1998-07-08,0.007500
1998-04-07,0.007500
1998-01-07,0.006250
