Date,Dividends
2014-02-12,0.200000
2013-12-18,0.900000
2013-11-13,0.200000
2013-08-14,0.200000
2013-05-15,0.200000
2013-02-13,0.200000
2012-11-14,0.200000
2012-08-15,0.200000
2012-05-16,0.200000
2012-02-15,0.180000
2011-12-15,0.700000
2011-11-16,0.180000
2011-08-16,0.180000
2011-05-17,0.120000
2011-02-15,0.120000
2010-12-15,0.300000
2010-11-17,0.120000
2010-08-17,0.090000
2010-05-17,0.090000
2010-02-17,0.090000
2009-11-17,0.090000
2009-08-14,0.090000
2009-05-15,0.180000
2009-02-17,0.180000
2008-12-17,0.100000
2008-11-14,0.180000
2008-08-14,0.180000
2008-05-15,0.180000
2008-02-14,0.180000
2007-12-14,1.000000
2007-11-15,0.180000
2007-08-15,0.166670
2007-05-16,0.166670
2007-02-14,0.133330
2006-12-14,1.333330
2006-11-15,0.133330
2006-08-16,0.133330
2006-05-16,0.133330
2006-02-15,0.111110
2005-12-15,0.888890
2005-11-15,0.111110
2005-08-16,0.093330
2005-05-17,0.093330
2005-02-16,0.088890
2004-12-16,0.888890
2004-11-16,0.088890
2004-08-16,0.088890
2004-05-17,0.088890
2004-02-13,0.066670
2003-12-17,0.355550
2003-11-14,0.065190
2003-08-14,0.065190
2003-05-15,0.065190
2003-02-13,0.059260
2002-12-16,0.207410
2002-11-18,0.059260
2002-08-19,0.059260
2002-05-30,0.059260
2002-02-14,0.059260
2001-12-17,0.049380
2001-11-16,0.059260
2001-08-17,0.059260
2001-05-17,0.059260
2001-02-14,0.059260
2000-12-19,0.197530
2000-11-16,0.059260
2000-08-16,0.059260
2000-05-16,0.059260
2000-02-16,0.059260
1999-12-17,0.316050
1999-11-16,0.039510
1999-08-18,0.039510
1999-05-18,0.039510
1999-02-17,0.039510
1998-12-17,0.316050
1998-11-17,0.029630
1998-08-19,0.029630
1998-05-19,0.029630
1998-02-17,0.029630
1997-11-18,0.029630
1997-08-19,0.029630
1997-05-23,0.029630
1997-02-18,0.024690
1996-12-18,0.148150
1996-11-15,0.024690
1996-08-16,0.024690
1996-05-16,0.024690
1996-02-15,0.024690
1995-11-16,0.024690
1995-08-17,0.024690
1995-05-12,0.024690
1995-02-13,0.024690
1994-12-19,0.024690
1994-11-14,0.024690
1994-08-17,0.024690
1994-05-13,0.046220
1994-02-16,0.046130
1994-01-04,0.046130
1993-12-20,0.053030
1993-11-15,0.024690
1993-08-13,0.024690
1993-05-14,0.024690
1992-12-17,0.024690
1992-11-13,0.024690
1992-08-14,0.024690
1992-05-15,0.024690
1992-02-12,0.024690
1991-11-13,0.024690
1991-08-15,0.024690
1991-05-15,0.024690
1990-11-13,0.061730
1990-08-15,0.061730
1990-05-15,0.061730
