Date,Dividends
2013-12-27,0.125000
2013-09-26,0.125000
2013-06-26,0.125000
2013-03-26,0.125000
2012-12-27,0.120000
2012-09-26,0.160000
2012-06-27,0.160000
2012-03-28,0.160000
2011-12-28,0.160000
2011-09-28,0.160000
2011-06-28,0.160000
2011-03-29,0.160000
2010-12-29,0.160000
2010-09-28,0.160000
2010-06-28,0.160000
2010-03-29,0.160000
2009-12-29,0.160000
2009-09-28,0.160000
2009-06-26,0.160000
2009-03-27,0.225000
2008-12-29,0.365000
2008-09-26,0.225000
2008-06-26,0.225000
2008-03-27,0.200000
2007-12-27,0.300000
2007-09-26,0.300000
2007-06-27,0.300000
2007-03-28,0.300000
2006-12-27,0.400000
2006-09-27,0.300000
2006-06-28,0.300000
2006-03-29,0.300000
2005-12-28,0.300000
2005-09-28,0.300000
2005-06-28,0.300000
2005-03-29,0.350000
2004-12-29,0.340000
2004-09-28,0.340000
2004-06-28,0.340000
2004-03-29,0.137000
2004-02-19,0.243000
2003-12-29,0.380000
2003-09-26,0.380000
2003-06-26,0.380000
2003-03-27,0.400000
2002-12-27,0.420000
2002-09-26,0.400000
2002-06-26,0.400000
2002-03-26,0.400000
2001-12-27,0.400000
2001-09-26,0.380000
2001-06-27,0.375000
2001-03-28,0.365000
2000-12-27,0.365000
2000-09-27,0.460000
2000-06-28,0.460000
2000-03-29,0.460000
1999-12-29,0.460000
1999-09-28,0.460000
1999-06-28,0.460000
1999-03-29,0.460000
1998-12-29,0.455000
1998-09-28,0.450000
1998-06-26,0.440000
1998-03-27,0.435000
1997-12-29,0.430000
1997-09-26,0.420000
1997-06-26,0.410000
1997-03-26,0.400000
1996-12-27,0.410000
1996-09-26,0.385000
1996-06-26,0.380000
1996-03-27,0.370000
1995-12-27,0.435000
1995-09-27,0.330000
