Date,Dividends
2014-01-08,0.120000
2013-10-08,0.120000
2013-07-08,0.120000
2013-04-08,0.120000
2012-12-12,0.105000
2012-10-05,0.105000
2012-07-06,0.105000
2012-04-05,0.105000
2011-12-28,0.090000
2011-09-28,0.090000
2011-06-28,0.090000
2011-03-29,0.090000
2010-12-29,0.080000
2010-09-28,0.080000
2010-09-13,0.625000
2010-06-28,0.080000
2010-03-29,0.080000
2009-12-22,0.070000
2009-09-23,0.070000
2009-06-23,0.070000
2009-03-27,0.065000
2008-12-22,0.065000
2008-10-22,0.625000
2008-09-23,0.065000
2008-06-23,0.065000
2008-03-27,0.065000
2007-12-20,0.055000
2007-09-21,0.055000
2007-06-21,0.055000
2007-03-28,0.055000
2006-12-20,0.045000
2006-09-21,0.045000
2006-06-22,0.045000
2006-03-23,0.045000
2005-12-21,0.035000
2005-09-22,0.035000
2005-06-22,0.035000
2005-03-23,0.035000
2004-12-21,0.027500
2004-09-22,0.027500
2004-06-23,0.027500
2004-04-29,0.312500
2004-03-24,0.027500
2003-12-22,0.022500
2003-09-23,0.022500
2003-06-23,0.020000
2003-03-26,0.020000
2002-12-20,0.017500
2002-09-23,0.017500
2002-06-21,0.017500
2002-03-26,0.017500
2001-12-20,0.016250
2001-09-21,0.016250
2001-06-21,0.010830
2001-03-22,0.015000
2000-12-20,0.015000
2000-09-21,0.015000
2000-06-22,0.014170
2000-03-23,0.014170
1999-12-22,0.014170
1999-09-23,0.014170
1999-06-23,0.013330
1999-03-24,0.013330
1998-12-23,0.013330
1998-09-23,0.013330
1998-06-24,0.012500
1998-03-25,0.012500
1997-12-24,0.012500
1997-09-23,0.012500
1997-06-25,0.010830
1997-03-25,0.010830
1996-12-19,0.010830
1996-09-20,0.010830
1996-06-21,0.010000
1996-03-21,0.010000
1995-12-20,0.010000
1995-09-20,0.010000
1995-06-21,0.008750
1995-03-20,0.008750
1994-12-16,0.008750
1994-09-15,0.008750
1994-06-20,0.007500
1994-03-16,0.007500
1993-12-15,0.007500
1993-09-15,0.007500
1993-06-15,0.006250
1993-03-16,0.006250
1992-12-22,0.006250
1992-09-15,0.006220
1992-06-15,0.005560
1992-03-17,0.005560
