Date,Dividends
2013-11-13,0.010000
2013-05-16,0.020000
2012-11-15,0.010000
2012-05-16,0.020000
2011-11-16,0.010000
2011-05-12,0.030000
2010-11-18,0.020000
2010-05-20,0.020000
2009-11-05,0.020000
2009-05-29,0.050000
2008-11-13,0.050000
2008-05-14,0.050000
2007-11-08,0.000000
2007-11-07,0.050000
2007-05-10,0.050000
2006-11-14,0.050000
2006-05-11,0.050000
2005-11-09,0.040000
2005-05-16,0.035000
2004-11-10,0.035000
2004-05-13,0.030000
2000-03-08,0.005380
1999-03-08,0.010000
1998-06-08,0.015000
1998-01-14,0.010000
1997-05-28,0.013440
1997-02-12,0.010000
1996-11-20,0.015000
1996-04-24,0.001220
1995-09-28,0.001220
1995-01-26,0.003060
1994-06-06,0.009170
