Date,Dividends
2014-03-06,0.200000
2013-12-09,0.170000
2013-09-04,0.170000
2013-06-07,0.170000
2013-02-20,0.170000
2012-12-03,0.140000
2012-08-29,0.140000
2012-06-01,0.140000
2012-02-15,0.140000
2011-11-25,0.110000
2011-08-31,0.110000
2011-06-03,0.110000
2011-02-16,0.110000
2010-12-03,0.080000
2010-08-31,0.080000
2010-06-03,0.080000
2010-02-17,0.080000
2009-12-04,0.055000
2009-09-01,0.055000
2009-06-04,0.055000
2009-02-18,0.055000
2008-12-08,0.047500
2008-09-03,0.047500
2008-06-12,0.047500
2008-02-20,0.047500
2007-12-10,0.037500
2007-09-05,0.037500
2007-06-14,0.037500
2007-02-21,0.037500
2006-12-04,0.030000
2006-08-30,0.030000
2006-06-08,0.030000
2006-02-22,0.030000
2005-12-05,0.030000
2005-08-30,0.025000
2005-06-09,0.025000
2005-02-23,0.025000
2004-12-06,0.021500
2004-08-31,0.021500
2004-06-10,0.021500
2004-02-25,0.021500
2003-11-28,0.014500
2003-09-02,0.014500
2003-06-12,0.014500
2003-02-26,0.014500
2002-12-09,0.012000
2002-08-30,0.012000
2002-06-13,0.012000
2002-02-27,0.012000
2001-12-10,0.010750
2001-08-31,0.010750
2001-06-14,0.010750
2001-02-28,0.010750
2000-11-29,0.009500
2000-09-06,0.009500
2000-06-15,0.009500
2000-03-01,0.009500
1999-12-01,0.008250
1999-09-02,0.008130
1999-06-09,0.008130
1999-03-03,0.008130
1998-12-02,0.006880
1998-09-08,0.006880
1998-06-10,0.006880
1998-03-04,0.006880
1997-12-03,0.005620
1997-09-03,0.005620
1997-06-11,0.005620
1997-03-06,0.005620
1996-12-04,0.004380
1996-09-04,0.004380
1996-06-12,0.004380
1996-03-06,0.004380
1995-12-06,0.003750
1995-09-06,0.003750
1995-06-06,0.003750
1995-03-06,0.003750
1994-12-05,0.003130
1994-09-02,0.003130
1994-06-14,0.003130
1994-03-07,0.003130
