Date,Dividends
2014-02-26,0.150000
2013-11-26,0.150000
2013-08-28,0.150000
2013-05-29,0.150000
2013-02-27,0.150000
2012-11-28,1.000000
2012-08-29,0.150000
2012-05-30,0.120000
2012-02-28,0.120000
2011-11-29,0.120000
2011-08-30,0.120000
2011-05-27,0.120000
2011-02-25,0.120000
2010-11-29,0.430000
2008-12-29,0.200000
2008-09-29,0.200000
2008-06-27,0.200000
2008-03-28,0.200000
2007-12-27,0.175000
2007-09-27,0.150000
2007-06-27,0.150000
2007-03-28,0.150000
2006-12-27,0.125000
2006-09-27,0.125000
2006-06-28,0.100000
2006-03-29,0.100000
2005-12-28,0.100000
2005-09-28,0.075000
2005-06-29,0.075000
2005-03-30,0.050000
2004-12-29,0.025000
2004-09-29,0.025000
2004-06-29,0.025000
