Date,Dividends
2014-02-25,0.210000
2013-11-19,0.310000
2013-08-20,0.200000
2013-05-21,0.200000
2013-02-26,0.190480
2012-11-19,0.504760
2012-08-21,0.190480
2012-05-22,0.190480
2012-04-16,0.180950
2012-02-28,0.163270
2011-11-21,0.344670
2011-08-23,0.163270
2011-05-24,0.154190
2011-03-01,0.154190
2010-11-22,0.308390
2010-08-24,0.154190
2010-05-25,0.154190
2010-03-02,0.146850
2009-11-23,0.293700
2009-08-25,0.120930
2009-05-26,0.120930
2009-03-03,0.106950
2008-11-24,0.156300
2008-08-26,0.131630
2008-05-27,0.106950
2008-03-04,0.098730
2007-11-27,0.123410
2007-08-28,0.098730
2007-05-29,0.098730
2007-03-13,0.086190
2006-11-28,0.109690
2006-08-29,0.086190
2006-05-30,0.086190
2006-03-07,0.086190
2005-11-29,0.097010
2005-08-30,0.082090
2005-05-31,0.082090
2005-03-04,0.000000
2004-11-30,0.085290
2004-08-31,0.071070
2004-06-01,0.067690
2004-03-02,0.067690
2003-12-01,0.067690
2003-09-02,0.067690
2003-06-02,0.051570
2003-03-03,0.051570
2002-11-29,0.064470
2002-08-30,0.045130
2002-06-03,0.055240
2002-03-01,0.042980
2001-11-29,0.042980
2001-09-17,0.036840
2001-08-29,0.035090
2001-06-07,0.035090
2001-03-16,0.035090
2000-11-30,0.043850
2000-08-31,0.027840
2000-06-13,0.027840
2000-03-09,0.027840
1999-12-02,0.027840
1999-09-10,0.026460
1999-06-11,0.025200
1999-03-18,0.025200
1998-11-27,0.025200
1998-09-10,0.025200
