Date,Dividends
2014-03-12,0.150000
2013-11-27,0.140000
2013-08-29,0.140000
2013-05-30,0.140000
2013-03-13,0.140000
2012-11-29,0.120000
2012-08-30,0.120000
2012-05-30,0.120000
2012-03-08,0.120000
2011-11-29,0.110000
2011-08-30,0.110000
2011-05-27,0.110000
2011-03-01,0.110000
2010-11-29,0.105000
2010-08-30,0.105000
2010-05-27,0.105000
2010-03-05,0.105000
2009-11-27,0.095000
2009-08-28,0.095000
2009-05-28,0.095000
2009-03-09,0.095000
2008-11-26,0.085000
2008-08-27,0.085000
2008-05-28,0.085000
2008-03-07,0.085000
2007-11-28,0.080000
2007-08-29,0.080000
2007-05-30,0.080000
2007-03-01,0.080000
2006-11-29,0.060000
2006-08-30,0.060000
2006-05-30,0.060000
2006-03-09,0.060000
2005-11-29,0.050000
2005-08-30,0.050000
2005-05-27,0.050000
2005-02-25,0.050000
2004-11-29,0.037500
2004-08-30,0.037500
2004-05-27,0.037500
