Date,Dividends
2014-03-05,0.491000
2013-12-04,0.494000
2013-09-04,0.499000
2013-06-05,0.517000
2013-03-01,0.491000
2012-12-05,0.527000
2012-09-05,0.566000
2012-06-01,0.555000
2012-03-01,0.570000
2011-12-01,0.518000
2011-08-31,0.497000
2011-06-01,0.258000
2011-03-02,0.250000
2010-12-01,0.251000
2010-09-01,0.316000
2010-06-02,0.245000
2010-03-03,0.238000
2009-12-02,0.252000
2009-09-02,0.338000
2009-06-03,0.510000
2009-03-04,0.663000
2008-12-03,0.889000
2008-09-03,0.888000
2008-06-04,0.876000
2008-03-05,1.432000
2007-12-05,1.604000
2007-09-05,1.582000
2007-06-01,1.546000
2007-03-01,1.515000
2006-12-01,1.539000
2006-08-31,1.544000
2006-06-01,1.435000
2006-03-01,1.298000
2005-11-30,1.156000
2005-08-31,1.119000
