Date,Dividends
2014-02-27,0.140000
2013-11-25,0.140000
2013-08-16,0.140000
2013-05-24,0.125000
2013-02-28,0.125000
2012-11-19,1.125000
2012-08-14,0.125000
2012-05-24,0.125000
2012-02-23,0.110000
2011-11-17,0.110000
2011-08-16,0.110000
2011-05-16,0.110000
2011-02-24,0.100000
2010-11-22,0.100000
2010-08-17,0.100000
2010-05-18,1.100000
2010-02-23,0.100000
2009-11-18,0.100000
2009-08-17,0.090000
2009-05-20,0.090000
2009-02-19,0.090000
2008-11-17,0.090000
2008-08-13,0.090000
2008-05-13,0.090000
2008-02-15,0.080000
2007-11-13,0.080000
2007-08-17,0.080000
2007-06-07,5.000000
2007-05-21,0.080000
2007-02-14,0.080000
2006-11-15,0.060000
2006-08-15,0.060000
2006-05-11,0.045000
2006-02-13,0.045000
2005-11-10,0.045000
2005-08-15,0.045000
2005-05-12,0.040000
2005-02-18,0.040000
2004-12-20,0.400000
2004-11-16,0.040000
2004-08-12,0.040000
2004-05-12,0.035000
2004-02-11,0.035000
2003-11-13,0.035000
2003-08-13,0.035000
2003-05-13,0.035000
2003-02-12,0.035000
2002-11-13,0.035000
2002-08-13,0.030000
2002-05-13,0.030000
2002-02-13,0.030000
2001-11-14,0.030000
2001-08-13,0.030000
2001-05-11,0.030000
2001-02-13,0.030000
2000-11-14,0.030000
2000-08-11,0.030000
2000-05-11,0.030000
2000-02-11,0.025000
1999-11-12,0.025000
1999-08-12,0.025000
1999-05-13,0.025000
1999-02-10,0.025000
1998-11-12,0.025000
1998-08-12,0.025000
1998-05-13,0.025000
1998-02-11,0.025000
1997-11-13,0.025000
1997-08-13,0.025000
1997-05-13,0.025000
1997-02-12,0.025000
1996-11-13,0.025000
1996-08-13,0.025000
1996-05-15,0.025000
1996-02-13,0.025000
1995-11-13,0.025000
1995-08-11,0.025000
1995-05-11,0.025000
1995-02-09,0.025000
1994-11-08,0.025000
1994-08-09,0.025000
1994-05-12,0.025000
1994-02-10,0.025000
1993-11-10,0.025000
1993-08-10,0.025000
1993-05-12,0.025000
1992-11-12,0.025000
1992-07-29,0.025000
1992-05-12,0.025000
1992-02-13,0.025000
1991-11-18,0.025000
1991-05-09,0.020000
1991-02-11,0.020000
