Date,Dividends
2013-11-12,0.050000
2013-05-21,0.050000
2012-11-06,0.050000
2012-05-08,0.050000
2011-11-08,0.050000
2011-05-10,0.050000
2010-11-08,0.050000
2010-05-11,0.050000
2009-11-12,0.050000
2009-04-13,0.080000
2008-11-13,0.050000
2008-05-14,0.050000
2007-11-09,0.080000
2007-05-11,0.053330
2006-11-13,0.071110
2006-05-11,0.048890
2005-11-10,0.066670
2005-05-11,0.048890
2004-11-10,0.062220
2004-05-12,0.035550
2003-11-12,0.066670
2003-05-14,0.022220
2002-10-23,0.026670
2002-05-23,0.044450
2001-06-05,0.031110
2001-05-24,0.031110
2000-06-05,0.031110
2000-05-26,0.031110
1999-05-26,0.008000
1998-05-27,0.008000
1998-04-16,0.008000
1997-04-16,0.008000
1997-03-25,0.005330
1996-03-25,0.005330
1995-06-02,0.005330
1994-06-13,0.005330
1993-07-09,0.005330
1992-06-22,0.003550
1991-06-17,0.002370
1990-08-09,0.002370
