Date,Dividends
2014-02-11,0.160000
2013-11-13,0.160000
2013-08-06,0.150000
2013-05-07,0.150000
2013-02-12,0.150000
2012-11-06,0.150000
2012-08-08,0.150000
2012-05-08,0.150000
2012-02-07,0.150000
2011-11-04,0.150000
2011-08-04,0.150000
2011-04-28,0.150000
2011-01-27,0.150000
2010-10-27,0.150000
2010-07-28,0.150000
2010-04-28,0.150000
2010-01-28,0.150000
2009-09-28,0.150000
2009-06-26,0.150000
2009-03-27,0.310000
2008-12-29,0.310000
2008-09-29,0.310000
2008-06-27,0.310000
2008-03-28,0.310000
2007-12-27,0.310000
2007-09-27,0.300000
2007-06-27,0.300000
2007-03-28,0.300000
2006-12-27,0.300000
2006-09-27,0.290000
2006-06-28,0.290000
2006-03-29,0.290000
2005-12-28,0.290000
2005-09-28,0.280000
2005-06-29,0.280000
2005-03-30,0.280000
2004-12-29,0.270000
2004-09-29,0.270000
2004-06-28,0.270000
2004-03-29,0.260000
2003-12-29,0.260000
2003-09-29,0.260000
2003-06-27,0.250000
2003-03-28,0.250000
2002-12-27,0.250000
2002-09-27,0.240000
2002-06-27,0.240000
2002-03-27,0.240000
2001-12-27,0.240000
2001-09-27,0.230000
2001-06-27,0.230000
2001-03-28,0.220000
2000-12-27,0.220000
2000-09-27,0.210000
2000-06-28,0.210000
2000-03-29,0.200000
1999-12-29,0.200000
1999-09-29,0.190000
1999-06-29,0.190000
1999-03-30,0.180000
1998-12-29,0.180000
1998-09-29,0.165000
1998-06-29,0.165000
1998-03-30,0.150000
1997-12-29,0.150000
1997-09-29,0.140000
1997-06-27,0.140000
1997-03-27,0.125000
1996-12-30,0.125000
1996-09-27,0.120000
1996-06-27,0.120000
1996-03-28,0.105000
1995-12-28,0.105000
1995-09-28,0.090000
1995-06-29,0.090000
1995-03-28,0.170000
1994-12-27,0.170000
1994-09-27,0.075000
1994-06-27,0.067500
1994-03-25,0.067500
1993-12-28,0.062500
1993-10-08,0.000000
1993-09-27,0.062500
1993-06-28,0.062500
1993-03-26,0.055000
1992-12-28,0.055000
1992-09-25,0.050000
1992-06-25,0.200000
